90-Th_n-g
> 90-Th-232:1.000000
1.625000e+07 8.79662000e-04
1.650000e+07 8.46345000e-04
1.700000e+07 7.86990000e-04
1.750000e+07 7.35579000e-04
1.800000e+07 6.90416000e-04
1.848580e+07 6.51648000e-04
1.848590e+07 6.51642000e-04
1.850000e+07 6.50563000e-04
1.900000e+07 6.14888000e-04
1.950000e+07 5.82664000e-04
