76-Os_n-g
> 76-Os-184:0.000200
> 76-Os-186:0.015900
> 76-Os-187:0.019600
> 76-Os-188:0.132400
> 76-Os-189:0.161500
> 76-Os-190:0.262600
> 76-Os-192:0.407800
1.396250e+00 3.46905508e+00
1.437500e+00 3.38627427e+00
1.445000e+00 3.37146863e+00
1.445010e+00 3.37145106e+00
1.445020e+00 3.37143340e+00
1.445030e+00 3.37141558e+00
1.445060e+00 3.37136260e+00
1.445110e+00 3.37126059e+00
1.445220e+00 3.37105263e+00
1.445430e+00 3.37064096e+00
1.445860e+00 3.36981320e+00
1.446720e+00 3.36817094e+00
1.448440e+00 3.36488672e+00
1.451880e+00 3.35834526e+00
1.463910e+00 3.33572412e+00
1.475940e+00 3.31349421e+00
1.500000e+00 3.27011409e+00
1.562500e+00 3.16708692e+00
1.625000e+00 3.07259544e+00
1.687500e+00 2.98854499e+00
1.750000e+00 2.91156312e+00
1.802700e+00 2.85375603e+00
1.812500e+00 2.84359144e+00
1.855400e+00 2.80018915e+00
1.855410e+00 2.80018100e+00
1.855420e+00 2.80016804e+00
1.855440e+00 2.80014925e+00
1.855480e+00 2.80011265e+00
1.855560e+00 2.80003548e+00
1.855710e+00 2.79988641e+00
1.856010e+00 2.79958562e+00
1.856630e+00 2.79898295e+00
1.857850e+00 2.79778034e+00
1.860300e+00 2.79538030e+00
1.865200e+00 2.79060072e+00
1.875000e+00 2.78117038e+00
1.882050e+00 2.77477922e+00
1.898900e+00 2.75982856e+00
1.932600e+00 2.73084643e+00
1.937500e+00 2.72686784e+00
2.000000e+00 2.67782550e+00
2.058320e+00 2.63969466e+00
2.093750e+00 2.61725134e+00
