83-Bi_n-tot
> 83-Bi-209:1.000000
7.981740e+02 1.03127000e+03
7.983930e+02 1.13414000e+03
7.988310e+02 1.34717000e+03
7.990500e+02 1.44990000e+03
7.991600e+02 1.49825000e+03
7.992690e+02 1.54375000e+03
7.994520e+02 1.61151000e+03
7.995430e+02 1.64079000e+03
7.996350e+02 1.66656000e+03
7.997260e+02 1.68856000e+03
7.998170e+02 1.70649000e+03
7.999090e+02 1.72017000e+03
8.000000e+02 1.72947000e+03
8.001460e+02 1.73504000e+03
8.002650e+02 1.73112000e+03
8.003840e+02 1.71985000e+03
8.005020e+02 1.70159000e+03
8.006210e+02 1.67682000e+03
8.007400e+02 1.64616000e+03
8.008590e+02 1.61035000e+03
8.009770e+02 1.57013000e+03
8.010960e+02 1.52630000e+03
8.013340e+02 1.43082000e+03
8.015710e+02 1.32977000e+03
8.018080e+02 1.22786000e+03
8.020460e+02 1.12877000e+03
8.021730e+02 1.07783000e+03
8.023000e+02 1.02868000e+03
8.024260e+02 9.81408000e+02
8.025530e+02 9.36208000e+02
8.026800e+02 8.93066000e+02
8.028070e+02 8.52067000e+02
8.029340e+02 8.13131000e+02
8.030610e+02 7.76281000e+02
8.031880e+02 7.41400000e+02
8.033140e+02 7.08472000e+02
8.034410e+02 6.77363000e+02
8.035680e+02 6.48037000e+02
8.036950e+02 6.20358000e+02
8.038220e+02 5.94278000e+02
8.039490e+02 5.69666000e+02
8.040750e+02 5.46475000e+02
8.042080e+02 5.23595000e+02
8.043410e+02 5.02080000e+02
8.044740e+02 4.81824000e+02
8.046060e+02 4.62744000e+02
8.047390e+02 4.44761000e+02
8.048720e+02 4.27802000e+02
8.050040e+02 4.11798000e+02
8.051370e+02 3.96684000e+02
8.052700e+02 3.82402000e+02
8.054030e+02 3.68896000e+02
8.055350e+02 3.56114000e+02
8.056680e+02 3.44009000e+02
8.058010e+02 3.32536000e+02
8.059330e+02 3.21654000e+02
8.060660e+02 3.11325000e+02
8.061990e+02 3.01515000e+02
8.064640e+02 2.83312000e+02
8.067300e+02 2.66824000e+02
8.069950e+02 2.51843000e+02
8.072600e+02 2.38194000e+02
8.075260e+02 2.25725000e+02
8.077910e+02 2.14307000e+02
8.080570e+02 2.03826000e+02
8.083220e+02 1.94182000e+02
8.086360e+02 1.83744000e+02
8.089490e+02 1.74233000e+02
8.092630e+02 1.65541000e+02
8.095770e+02 1.57581000e+02
8.098900e+02 1.50271000e+02
8.102040e+02 1.43542000e+02
8.105180e+02 1.37327000e+02
8.108310e+02 1.31574000e+02
8.110970e+02 1.27030000e+02
8.113620e+02 1.22762000e+02
8.116280e+02 1.18747000e+02
8.118930e+02 1.14965000e+02
8.121590e+02 1.11399000e+02
8.124240e+02 1.08031000e+02
8.126890e+02 1.04848000e+02
8.129550e+02 1.01835000e+02
8.132200e+02 9.89796000e+01
8.134860e+02 9.62722000e+01
8.137510e+02 9.37015000e+01
8.140160e+02 9.12584000e+01
8.145470e+02 8.67210000e+01
8.150780e+02 8.25999000e+01
8.156090e+02 7.88434000e+01
8.161400e+02 7.54096000e+01
8.166710e+02 7.22601000e+01
8.172010e+02 6.93643000e+01
8.177320e+02 6.66938000e+01
8.182630e+02 6.42257000e+01
8.187940e+02 6.19390000e+01
8.193250e+02 5.98154000e+01
8.197590e+02 5.81879000e+01
8.201930e+02 5.66524000e+01
8.206280e+02 5.52032000e+01
8.210620e+02 5.38339000e+01
8.214960e+02 5.25343000e+01
8.219310e+02 5.12985000e+01
8.223650e+02 5.01240000e+01
8.227990e+02 4.90073000e+01
8.232340e+02 4.79442000e+01
8.236680e+02 4.69318000e+01
8.245370e+02 4.50449000e+01
8.254050e+02 4.33232000e+01
8.262740e+02 4.17470000e+01
8.268050e+02 4.08479000e+01
8.273350e+02 3.99936000e+01
8.278660e+02 3.91806000e+01
8.283970e+02 3.84066000e+01
8.289280e+02 3.76686000e+01
8.294590e+02 3.69645000e+01
8.305200e+02 3.56494000e+01
8.315820e+02 3.44457000e+01
8.326440e+02 3.33404000e+01
8.337060e+02 3.23225000e+01
8.347670e+02 3.13826000e+01
8.359250e+02 3.04362000e+01
8.370840e+02 2.95635000e+01
8.382420e+02 2.87564000e+01
8.394000e+02 2.80082000e+01
8.405580e+02 2.73128000e+01
8.417160e+02 2.66651000e+01
8.428740e+02 2.60640000e+01
8.440320e+02 2.54981000e+01
8.450940e+02 2.50113000e+01
8.461560e+02 2.45512000e+01
8.472180e+02 2.41156000e+01
8.482790e+02 2.37046000e+01
8.493410e+02 2.33148000e+01
8.504020e+02 2.29442000e+01
8.525260e+02 2.22588000e+01
8.546490e+02 2.16365000e+01
8.567720e+02 2.10705000e+01
8.588960e+02 2.05532000e+01
8.610190e+02 2.00783000e+01
8.631420e+02 1.96419000e+01
8.652660e+02 1.92387000e+01
8.673890e+02 1.88654000e+01
8.695120e+02 1.85193000e+01
8.716360e+02 1.81968000e+01
8.737590e+02 1.78962000e+01
8.758820e+02 1.76153000e+01
8.780060e+02 1.73519000e+01
8.812870e+02 1.69764000e+01
8.845690e+02 1.66346000e+01
8.878500e+02 1.63237000e+01
8.911320e+02 1.60364000e+01
8.944130e+02 1.57719000e+01
8.976950e+02 1.55277000e+01
9.009760e+02 1.53015000e+01
9.042580e+02 1.50914000e+01
9.085040e+02 1.48415000e+01
9.127510e+02 1.46118000e+01
9.169980e+02 1.44007000e+01
9.212440e+02 1.42066000e+01
9.254910e+02 1.40264000e+01
9.297370e+02 1.38596000e+01
9.339840e+02 1.37045000e+01
9.382310e+02 1.35594000e+01
9.428630e+02 1.34124000e+01
9.474960e+02 1.32750000e+01
9.567620e+02 1.30269000e+01
9.660270e+02 1.28086000e+01
9.752920e+02 1.26150000e+01
9.814690e+02 1.24975000e+01
9.876460e+02 1.23881000e+01
1.000000e+03 1.21906000e+01
1.008790e+03 1.20650000e+01
1.017580e+03 1.19502000e+01
1.026370e+03 1.18443000e+01
1.035160e+03 1.17463000e+01
1.052740e+03 1.15707000e+01
1.070310e+03 1.14177000e+01
1.091800e+03 1.12557000e+01
1.113280e+03 1.11148000e+01
1.134770e+03 1.09907000e+01
1.156250e+03 1.08802000e+01
1.179690e+03 1.07723000e+01
1.203130e+03 1.06751000e+01
1.226560e+03 1.05870000e+01
1.250000e+03 1.05053000e+01
1.292970e+03 1.03710000e+01
1.335940e+03 1.02509000e+01
1.378910e+03 1.01407000e+01
1.421880e+03 1.00376000e+01
1.484380e+03 9.89511000e+00
1.500000e+03 9.86025000e+00
