35-Br_n-g
>  35-Br-79:0.506900
>  35-Br-81:0.493100
4.876600e+01 1.57293068e+00
4.891680e+01 1.63526916e+00
4.906770e+01 1.70491728e+00
4.921850e+01 1.78280239e+00
4.936930e+01 1.87004488e+00
4.952010e+01 1.96797282e+00
4.967090e+01 2.07816267e+00
4.975320e+01 2.14410669e+00
4.983550e+01 2.21460774e+00
4.991770e+01 2.29008136e+00
5.000000e+01 2.37094345e+00
5.013030e+01 2.51129144e+00
5.026050e+01 2.66869140e+00
5.039080e+01 2.84590116e+00
5.045590e+01 2.94293064e+00
5.052100e+01 3.04617472e+00
5.058620e+01 3.15617085e+00
5.065130e+01 3.27348648e+00
5.071640e+01 3.39875029e+00
5.078150e+01 3.53266182e+00
5.084670e+01 3.67608294e+00
5.091180e+01 3.82993085e+00
5.097690e+01 3.99525497e+00
5.104200e+01 4.17321104e+00
5.111750e+01 4.39682863e+00
5.119290e+01 4.64149763e+00
5.126830e+01 4.90988955e+00
5.134370e+01 5.20513197e+00
5.141910e+01 5.53082387e+00
5.149450e+01 5.89139048e+00
5.156250e+01 6.25259344e+00
5.156990e+01 6.29190194e+00
5.164530e+01 6.73845022e+00
5.169330e+01 7.04996690e+00
5.174130e+01 7.38525718e+00
5.178930e+01 7.74685558e+00
5.183730e+01 8.13760073e+00
5.188530e+01 8.56068609e+00
5.193330e+01 9.01976136e+00
5.198130e+01 9.51913517e+00
5.202920e+01 1.00634202e+01
5.208070e+01 1.07032616e+01
5.213210e+01 1.14095575e+01
5.218350e+01 1.21918884e+01
5.223490e+01 1.30616595e+01
5.226060e+01 1.35336755e+01
5.228630e+01 1.40329627e+01
5.231200e+01 1.45617515e+01
5.233770e+01 1.51221708e+01
5.236340e+01 1.57173128e+01
5.238920e+01 1.63499149e+01
