Cd-106(n,g) ENDFB-8.0
Energy(eV) XS(b)
494.489 0.104160
494.592 0.112850
494.694 0.123223
494.797 0.135849
494.851 0.143658
494.905 0.152510
494.959 0.162637
495.013 0.174337
495.067 0.187992
495.121 0.204093
495.175 0.223262
495.228 0.246244
495.282 0.274115
495.336 0.308071
495.363 0.327833
495.390 0.349632
495.417 0.373780
495.444 0.400539
495.471 0.430311
495.498 0.463188
495.525 0.499754
495.552 0.540100
495.579 0.584919
495.606 0.634294
495.632 0.688821
495.659 0.748965
495.686 0.815468
495.713 0.888345
495.740 0.968667
495.767 1.05638
495.794 1.15268
495.821 1.25741
495.848 1.37191
495.875 1.49587
495.902 1.63076
495.929 1.77607
495.956 1.93337
495.983 2.10194
496.010 2.28341
496.037 2.47678
496.064 2.68294
496.090 2.90209
496.125 3.20046
496.159 3.52001
496.193 3.86037
496.228 4.22086
496.262 4.60044
496.296 4.99769
496.331 5.41082
496.365 5.83636
496.414 6.46459
496.463 7.10657
496.561 8.38956
496.615 9.06686
496.668 9.70133
496.720 10.2540
496.771 10.7378
496.798 10.9603
496.825 11.1581
496.852 11.3311
496.879 11.4768
496.907 11.5988
496.935 11.6892
496.968 11.7545
497.000 11.7759
497.011 11.7732
497.046 11.7304
497.081 11.6365
497.113 11.5116
497.144 11.3488
497.167 11.2070
497.198 10.9823
497.229 10.7260
497.266 10.3839
497.303 10.0050
497.334 9.65940
497.366 9.29444
497.428 8.51974
497.588 6.43884
497.650 5.64181
497.682 5.25764
497.713 4.88556
497.744 4.52713
497.775 4.18364
497.807 3.85613
497.838 3.54632
497.865 3.29112
497.892 3.04994
497.919 2.82107
497.946 2.60617
497.973 2.40353
498.000 2.21443
498.027 2.03781
498.054 1.87332
498.081 1.72000
498.108 1.57852
498.135 1.44781
498.162 1.32734
498.189 1.21618
498.216 1.11460
498.243 1.02161
498.270 0.936668
498.293 0.870795
498.316 0.809941
498.339 0.753792
498.362 0.702259
498.384 0.654592
498.407 0.610928
498.430 0.570609
498.453 0.533732
498.475 0.499725
498.498 0.468523
498.521 0.439905
498.544 0.413774
498.589 0.367731
498.635 0.328996
498.680 0.296298
498.726 0.268749
498.771 0.245398
498.817 0.225516
498.862 0.208495
498.908 0.193833
498.953 0.181116
498.999 0.170008
499.061 0.156859
499.124 0.145683
499.187 0.136059
499.249 0.127674
499.312 0.120289
499.374 0.113727
499.499 0.102554
499.625 0.0933596
499.750 0.0856646
499.875 0.0791221
500.000 0.0735061
500.164 0.0672379
500.329 0.0619704
500.493 0.0574927
500.658 0.0536505
500.822 0.0503204
500.986 0.0474155
501.315 0.0426034
501.644 0.0388021
501.972 0.0357417
502.301 0.0332383
502.630 0.0311607
503.123 0.0286351
503.616 0.0266263
504.109 0.0249971
504.602 0.0236559
505.095 0.0225348
505.588 0.0215865
506.081 0.0207779
506.574 0.0200823
507.560 0.0189249
508.546 0.0180084
509.532 0.0172703
510.518 0.0166644
511.570 0.0161287
512.622 0.0156818
513.674 0.0153053
514.726 0.0149862
516.830 0.0144856
518.933 0.0141235
521.037 0.0138650
523.141 0.0136929
