14-Si_n-tot
>  14-Si-28:0.922230
>  14-Si-29:0.046850
>  14-Si-30:0.030920
2.225580e+03 2.28831900e+00
2.225740e+03 2.30105355e+00
2.225900e+03 2.31479300e+00
2.226060e+03 2.32946004e+00
2.226210e+03 2.34536089e+00
2.226370e+03 2.36243660e+00
2.226530e+03 2.38093155e+00
2.226680e+03 2.40103751e+00
2.226840e+03 2.42310371e+00
2.227000e+03 2.44710242e+00
2.227160e+03 2.47345722e+00
2.227310e+03 2.50249288e+00
2.227470e+03 2.53481834e+00
2.227630e+03 2.57047389e+00
2.227790e+03 2.61016758e+00
2.227940e+03 2.65449936e+00
2.228050e+03 2.68804042e+00
2.228160e+03 2.72399632e+00
2.228270e+03 2.76331014e+00
2.228370e+03 2.80554289e+00
2.228480e+03 2.85180753e+00
2.228590e+03 2.90158776e+00
2.228690e+03 2.95566288e+00
2.228800e+03 3.01442846e+00
2.228910e+03 3.07893590e+00
2.229020e+03 3.14844309e+00
2.229120e+03 3.22401070e+00
2.229230e+03 3.30614562e+00
2.229340e+03 3.39626719e+00
2.229450e+03 3.49327154e+00
2.229550e+03 3.59855636e+00
2.229660e+03 3.71273677e+00
2.229740e+03 3.80312141e+00
2.229820e+03 3.89896034e+00
2.229900e+03 4.00052566e+00
2.229970e+03 4.10668268e+00
2.230050e+03 4.22042120e+00
2.230130e+03 4.33912238e+00
2.230210e+03 4.46610085e+00
2.230290e+03 4.59839446e+00
2.230370e+03 4.73965796e+00
2.230450e+03 4.88849068e+00
2.230530e+03 5.04515544e+00
2.230600e+03 5.20770126e+00
2.230680e+03 5.38060520e+00
2.230760e+03 5.55960038e+00
2.230840e+03 5.74951032e+00
2.230920e+03 5.94569702e+00
2.231070e+03 6.35046943e+00
2.231220e+03 6.78575988e+00
2.231370e+03 7.25778328e+00
2.231520e+03 7.76010829e+00
2.231670e+03 8.29879522e+00
2.231820e+03 8.86555751e+00
2.231970e+03 9.46191023e+00
2.232120e+03 1.00854416e+01
2.232280e+03 1.07636395e+01
2.232430e+03 1.14636052e+01
2.232750e+03 1.29068243e+01
2.233060e+03 1.43681935e+01
2.233380e+03 1.57767823e+01
2.233520e+03 1.63882549e+01
2.233660e+03 1.69648190e+01
2.233810e+03 1.75043716e+01
2.233950e+03 1.80006364e+01
2.234110e+03 1.84886454e+01
2.234260e+03 1.89101455e+01
2.234400e+03 1.92125419e+01
2.234530e+03 1.94568087e+01
2.234670e+03 1.96439354e+01
2.234800e+03 1.97689747e+01
2.234900e+03 1.98226509e+01
2.235000e+03 1.98402745e+01
2.235130e+03 1.98083330e+01
2.235270e+03 1.97150152e+01
2.235400e+03 1.95600121e+01
2.235530e+03 1.93473432e+01
2.235640e+03 1.91183178e+01
2.235760e+03 1.88492509e+01
2.235870e+03 1.85423071e+01
2.235990e+03 1.81998980e+01
2.236220e+03 1.74087150e+01
2.236450e+03 1.65120021e+01
2.236680e+03 1.55329801e+01
2.236910e+03 1.44987350e+01
2.237280e+03 1.27576575e+01
2.237660e+03 1.10440987e+01
2.237890e+03 1.00423196e+01
2.238010e+03 9.56410980e+00
2.238120e+03 9.10160748e+00
2.238240e+03 8.65595647e+00
2.238350e+03 8.22814639e+00
2.238470e+03 7.81895006e+00
2.238580e+03 7.42886237e+00
2.238700e+03 7.05825420e+00
2.238810e+03 6.70724940e+00
2.238930e+03 6.37584779e+00
2.239040e+03 6.06389495e+00
2.239160e+03 5.77101966e+00
2.239270e+03 5.49685105e+00
2.239390e+03 5.24086332e+00
2.239500e+03 5.00438620e+00
2.239610e+03 4.78261772e+00
2.239730e+03 4.57698012e+00
2.239840e+03 4.38668202e+00
2.239960e+03 4.21091623e+00
2.240070e+03 4.04886045e+00
2.240190e+03 3.89968277e+00
2.240300e+03 3.76256397e+00
2.240420e+03 3.63668760e+00
2.240530e+03 3.52125919e+00
2.240650e+03 3.41551792e+00
2.240760e+03 3.31871881e+00
2.240880e+03 3.23015979e+00
2.240990e+03 3.14917007e+00
2.241110e+03 3.07511562e+00
2.241220e+03 3.00740913e+00
2.241340e+03 2.94549078e+00
2.241460e+03 2.88837431e+00
2.241570e+03 2.83656379e+00
2.241690e+03 2.78910672e+00
2.241800e+03 2.74559514e+00
2.241920e+03 2.70565781e+00
2.242030e+03 2.66895790e+00
2.242150e+03 2.63518912e+00
2.242260e+03 2.60406409e+00
2.242380e+03 2.57533836e+00
2.242490e+03 2.54877711e+00
2.242610e+03 2.52417611e+00
2.242720e+03 2.50135000e+00
2.242840e+03 2.48012856e+00
2.242950e+03 2.46036353e+00
2.243070e+03 2.44191870e+00
2.243180e+03 2.42467675e+00
2.243360e+03 2.40010614e+00
2.243540e+03 2.37780815e+00
2.243710e+03 2.35748604e+00
2.243890e+03 2.33899121e+00
2.244070e+03 2.32190943e+00
2.244250e+03 2.30616648e+00
2.244430e+03 2.29161086e+00
2.244600e+03 2.27818700e+00
2.244780e+03 2.26563190e+00
2.244960e+03 2.25392711e+00
2.245140e+03 2.24299531e+00
2.245310e+03 2.23281187e+00
2.245490e+03 2.22320345e+00
2.245670e+03 2.21422332e+00
2.245850e+03 2.20571937e+00
2.246020e+03 2.19774485e+00
2.246250e+03 2.18803767e+00
2.246480e+03 2.17900330e+00
2.246710e+03 2.17057744e+00
2.246940e+03 2.16270444e+00
2.247170e+03 2.15533388e+00
2.247400e+03 2.14842248e+00
2.247630e+03 2.14193129e+00
2.247860e+03 2.13582536e+00
2.248090e+03 2.13007439e+00
2.248320e+03 2.12464993e+00
2.248550e+03 2.11952695e+00
2.248780e+03 2.11468317e+00
2.249240e+03 2.10575316e+00
2.249700e+03 2.09771705e+00
2.250210e+03 2.08982922e+00
2.250710e+03 2.08273860e+00
2.251210e+03 2.07633966e+00
2.251710e+03 2.07055448e+00
2.252210e+03 2.06528535e+00
2.252710e+03 2.06048126e+00
2.253220e+03 2.05608801e+00
2.253720e+03 2.05206713e+00
2.254180e+03 2.04866067e+00
2.254640e+03 2.04549971e+00
2.255100e+03 2.04256106e+00
2.255560e+03 2.03982402e+00
2.256020e+03 2.03727033e+00
2.256480e+03 2.03488361e+00
2.256940e+03 2.03264963e+00
2.257400e+03 2.03055541e+00
2.257860e+03 2.02858951e+00
2.258320e+03 2.02674203e+00
2.258780e+03 2.02500278e+00
2.259240e+03 2.02336401e+00
2.259700e+03 2.02181800e+00
2.260160e+03 2.02035734e+00
2.260620e+03 2.01897644e+00
2.261080e+03 2.01766914e+00
2.262000e+03 2.01525520e+00
2.262920e+03 2.01307965e+00
2.263840e+03 2.01111127e+00
2.264760e+03 2.00932439e+00
2.265680e+03 2.00769737e+00
2.266600e+03 2.00621165e+00
2.267520e+03 2.00485085e+00
2.268440e+03 2.00360136e+00
2.269150e+03 2.00270465e+00
2.269860e+03 2.00186266e+00
2.270570e+03 2.00107077e+00
2.271280e+03 2.00032526e+00
2.271990e+03 1.99962211e+00
2.272700e+03 1.99895853e+00
2.274120e+03 1.99773775e+00
2.275550e+03 1.99664056e+00
2.276970e+03 1.99565199e+00
2.278390e+03 1.99475803e+00
2.279810e+03 1.99394724e+00
2.280730e+03 1.99346148e+00
2.281650e+03 1.99300385e+00
2.283490e+03 1.99216434e+00
2.285330e+03 1.99141358e+00
2.287170e+03 1.99073918e+00
2.289010e+03 1.99013065e+00
2.290850e+03 1.98957994e+00
2.292690e+03 1.98907931e+00
2.294530e+03 1.98862291e+00
2.296540e+03 1.98816872e+00
2.298550e+03 1.98775566e+00
2.300550e+03 1.98737794e+00
2.302560e+03 1.98703167e+00
2.304570e+03 1.98671353e+00
2.306570e+03 1.98642053e+00
2.308580e+03 1.98615001e+00
2.310590e+03 1.98589897e+00
