Sc-45(n,g) ENDFB-8.0
Energy(eV) XS(b)
3385.91 0.588069
3387.13 0.586691
3388.07 0.587565
3389.02 0.590589
3389.96 0.596356
3390.91 0.605734
3391.38 0.612165
3391.85 0.620012
3392.33 0.629586
3392.80 0.641194
3393.27 0.655345
3393.74 0.672590
3394.22 0.693849
3394.45 0.706299
3394.69 0.720227
3395.09 0.748364
3395.30 0.764831
3395.50 0.783140
3395.70 0.803793
3395.90 0.826970
3396.11 0.853369
3396.31 0.883293
3396.51 0.917721
3396.71 0.957134
3396.92 1.00291
3397.12 1.05576
3397.32 1.11759
3397.52 1.18943
3397.73 1.27386
3397.83 1.32110
3397.93 1.37221
3398.05 1.43782
3398.17 1.50914
3398.28 1.58726
3398.40 1.67278
3398.52 1.76632
3398.64 1.86852
3398.76 1.98007
3398.87 2.10163
3398.99 2.23509
3399.11 2.37890
3399.23 2.53484
3399.35 2.70358
3399.46 2.88580
3399.58 3.08211
3399.70 3.29309
3399.82 3.51925
3399.94 3.76315
3400.06 4.02104
3400.17 4.29516
3400.29 4.58561
3400.41 4.89240
3400.53 5.21536
3400.65 5.55416
3400.76 5.90831
3400.97 6.55138
3401.17 7.22947
3401.37 7.94267
3401.57 8.67561
3401.95 10.0515
3402.32 11.3925
3402.57 12.2454
3402.82 13.0158
3403.01 13.5136
3403.19 13.9402
3403.32 14.1923
3403.45 14.4029
3403.58 14.5718
3403.71 14.6974
3403.85 14.7864
3404.00 14.8153
3404.14 14.7878
3404.27 14.7088
3404.41 14.5780
3404.55 14.3990
3404.66 14.2054
3404.78 13.9782
3404.90 13.7191
3405.02 13.4304
3405.26 12.7676
3405.49 12.0186
3405.73 11.2000
