Recomputed-Ag_n-g
> 47-Ag-109:0.481610
> 47-Ag-107:0.518390
6.562500e+00 3.69350528e+01
6.587190e+00 3.55982398e+01
6.612640e+00 3.42952159e+01
6.638090e+00 3.30617848e+01
6.663550e+00 3.18932258e+01
6.714450e+00 2.97331008e+01
6.765350e+00 2.77836320e+01
6.816250e+00 2.60185717e+01
6.867160e+00 2.44154762e+01
6.875000e+00 2.41905799e+01
6.918060e+00 2.29557714e+01
6.968960e+00 2.16226583e+01
7.019870e+00 2.04020006e+01
7.070770e+00 1.92816629e+01
7.121670e+00 1.82509527e+01
7.172580e+00 1.73007191e+01
7.187500e+00 1.70434436e+01
7.223480e+00 1.64233346e+01
7.267440e+00 1.57188880e+01
7.311400e+00 1.50598572e+01
7.355360e+00 1.44421485e+01
7.399330e+00 1.38615715e+01
7.443290e+00 1.33147077e+01
7.487250e+00 1.27993412e+01
7.500000e+00 1.26584288e+01
7.531210e+00 1.23137630e+01
7.575170e+00 1.18556969e+01
7.619130e+00 1.14230116e+01
7.663090e+00 1.10139253e+01
7.707060e+00 1.06267999e+01
7.751020e+00 1.02600470e+01
7.812500e+00 9.78612568e+00
7.838940e+00 9.58253368e+00
7.926860e+00 8.97180591e+00
7.977770e+00 8.64526753e+00
8.028670e+00 8.33669352e+00
8.079570e+00 8.04487954e+00
8.125000e+00 7.79835794e+00
8.130480e+00 7.76866723e+00
8.232280e+00 7.25943560e+00
8.334090e+00 6.80062830e+00
8.435890e+00 6.38588855e+00
8.437500e+00 6.37994152e+00
8.537700e+00 6.01068451e+00
8.639510e+00 5.66949600e+00
8.741310e+00 5.35845161e+00
8.750000e+00 5.33418099e+00
8.843120e+00 5.07493686e+00
8.944920e+00 4.81527228e+00
9.046730e+00 4.57683701e+00
9.062500e+00 4.54284537e+00
9.148530e+00 4.35814828e+00
9.250340e+00 4.15666781e+00
9.296880e+00 4.07159545e+00
9.352150e+00 3.97099058e+00
9.453950e+00 3.79962373e+00
9.531250e+00 3.67947298e+00
9.555760e+00 3.64156358e+00
9.666820e+00 3.48266829e+00
9.765630e+00 3.35157869e+00
9.777880e+00 3.33543168e+00
9.888940e+00 3.20002166e+00
1.000000e+01 3.07469655e+00
1.010740e+01 2.96335521e+00
1.021490e+01 2.85969446e+00
1.026760e+01 2.81229899e+00
