72-Hf_n-g
> 72-Hf-174:0.001600
> 72-Hf-176:0.052600
> 72-Hf-177:0.186000
> 72-Hf-178:0.272800
> 72-Hf-179:0.136200
> 72-Hf-180:0.350800
2.574220e-01 5.76010841e+01
2.585940e-01 5.75722859e+01
2.609380e-01 5.75157220e+01
2.620360e-01 5.74927184e+01
2.632810e-01 5.74668392e+01
2.656250e-01 5.74181658e+01
2.667970e-01 5.73943757e+01
2.679690e-01 5.73710718e+01
2.691410e-01 5.73514512e+01
2.696390e-01 5.73431243e+01
2.750000e-01 5.72542018e+01
2.814450e-01 5.71723851e+01
2.843750e-01 5.71431240e+01
2.878910e-01 5.71115237e+01
2.937500e-01 5.70742479e+01
2.943360e-01 5.70710524e+01
3.007810e-01 5.70525484e+01
3.031250e-01 5.70519721e+01
3.072270e-01 5.70538370e+01
3.078130e-01 5.70555931e+01
3.125000e-01 5.70702377e+01
3.136720e-01 5.70746633e+01
3.148440e-01 5.70819661e+01
3.201170e-01 5.71154736e+01
3.218750e-01 5.71308803e+01
3.265630e-01 5.71753472e+01
3.289060e-01 5.72031239e+01
3.312500e-01 5.72311981e+01
3.324220e-01 5.72458971e+01
3.359380e-01 5.72975246e+01
3.382810e-01 5.73322088e+01
3.406250e-01 5.73721349e+01
3.429690e-01 5.74132805e+01
3.441410e-01 5.74339953e+01
3.500000e-01 5.75501295e+01
3.564450e-01 5.76969831e+01
3.593750e-01 5.77706740e+01
3.628910e-01 5.78612965e+01
3.687500e-01 5.80264766e+01
3.693360e-01 5.80433122e+01
3.715510e-01 5.81123864e+01
3.757810e-01 5.82447107e+01
3.781250e-01 5.83237754e+01
3.798640e-01 5.83831570e+01
3.822270e-01 5.84641967e+01
3.875000e-01 5.86580160e+01
3.881760e-01 5.86831748e+01
3.886720e-01 5.87017085e+01
3.951170e-01 5.89589029e+01
3.964880e-01 5.90170851e+01
3.968750e-01 5.90335676e+01
4.015630e-01 5.92341144e+01
4.048000e-01 5.93804409e+01
4.062500e-01 5.94461209e+01
4.074220e-01 5.94998514e+01
4.109380e-01 5.96695556e+01
4.132810e-01 5.97828574e+01
4.156250e-01 5.99018595e+01
4.191410e-01 6.00814657e+01
4.250000e-01 6.03952747e+01
4.314450e-01 6.07615953e+01
4.332190e-01 6.08675137e+01
4.343750e-01 6.09367314e+01
4.378910e-01 6.11472939e+01
4.414380e-01 6.13698082e+01
4.437500e-01 6.15151041e+01
4.443360e-01 6.15522997e+01
4.507810e-01 6.19804837e+01
4.531250e-01 6.21436949e+01
4.572270e-01 6.24293519e+01
4.578130e-01 6.24720023e+01
4.625000e-01 6.28139132e+01
4.636720e-01 6.29002415e+01
4.648440e-01 6.29903400e+01
