Se-78(n,g) ENDFB-8.0
Energy(eV) XS(b)
1256.94 0.00140107
1270.61 0.00151702
1284.27 0.00171558
1289.57 0.00183401
1294.87 0.00199039
1300.16 0.00220087
1305.46 0.00249304
1310.75 0.00291333
1313.40 0.00318679
1316.05 0.00353712
1318.70 0.00398158
1321.35 0.00455686
1323.99 0.00531838
1326.64 0.00633306
1328.18 0.00711357
1329.72 0.00808110
1331.26 0.00930104
1332.79 0.0108675
1334.33 0.0129278
1335.10 0.0142055
1335.87 0.0156905
1336.64 0.0174423
1337.41 0.0195398
1338.17 0.0220809
1338.94 0.0251881
1339.58 0.0283450
1340.22 0.0321667
1340.87 0.0368516
1341.51 0.0426761
1341.83 0.0461562
1342.15 0.0500889
1342.47 0.0545885
1342.79 0.0597379
1343.11 0.0657100
1343.43 0.0726473
1343.75 0.0808014
1344.07 0.0904860
1344.37 0.101296
1344.67 0.114308
1344.97 0.130233
1345.12 0.139638
1345.26 0.150159
1345.41 0.162192
1345.56 0.175922
1345.71 0.192020
1345.86 0.210960
1346.01 0.234010
1346.16 0.262334
1346.24 0.279285
1346.31 0.298225
1346.39 0.320099
1346.46 0.344830
1346.53 0.373708
1346.61 0.407170
1346.68 0.446106
1346.76 0.490911
1346.83 0.544015
1346.91 0.606291
1346.98 0.679399
1347.06 0.764007
1347.10 0.812940
1347.13 0.864545
1347.17 0.921931
1347.21 0.982404
1347.25 1.04959
1347.28 1.12031
1347.32 1.19665
1347.36 1.27898
1347.39 1.37021
1347.43 1.46597
1347.47 1.57188
1347.51 1.68284
1347.54 1.80534
1347.58 1.93342
1347.62 2.07066
1347.66 2.21757
1347.70 2.42785
1347.75 2.65225
1347.80 2.89596
1347.85 3.16008
1347.90 3.44567
1347.94 3.75375
1347.99 4.08529
1348.04 4.44120
1348.09 4.82231
1348.14 5.22932
1348.18 5.66286
1348.23 6.12338
1348.28 6.61120
1348.33 7.12646
1348.38 7.66911
1348.42 8.23889
1348.48 8.97570
1348.54 9.75140
