>,44-Ru-99:0.127600
>,44-Ru-100:0.126000
>,44-Ru-101:0.170600
>,44-Ru-102:0.315500
>,44-Ru-104:0.186200
9.680660e+00,3.52625927e+01
9.681510e+00,3.54141879e+01
9.687310e+00,3.64533900e+01
9.687500e+00,3.64890652e+01
9.688150e+00,3.66111135e+01
9.691730e+00,3.72866507e+01
9.693970e+00,3.77117338e+01
9.694780e+00,3.78730822e+01
9.700630e+00,3.90442202e+01
9.701420e+00,3.92106805e+01
9.707280e+00,4.04520418e+01
9.708060e+00,4.06256458e+01
9.713940e+00,4.19417504e+01
9.714700e+00,4.21209598e+01
9.716870e+00,4.26357395e+01
9.720600e+00,4.35194370e+01
9.721330e+00,4.37020030e+01
9.725560e+00,4.47650591e+01
9.727250e+00,4.51916477e+01
9.729430e+00,4.57717591e+01
9.729780e+00,4.58644186e+01
9.733910e+00,4.69623256e+01
9.734010e+00,4.69904152e+01
9.738230e+00,4.81811781e+01
9.740570e+00,4.88443928e+01
9.742000e+00,4.92736412e+01
9.742460e+00,4.94109152e+01
9.746680e+00,5.06764181e+01
9.747220e+00,5.08391655e+01
9.750000e+00,5.17251525e+01
9.750900e+00,5.20101287e+01
9.753880e+00,5.29583194e+01
9.755130e+00,5.33823651e+01
9.759350e+00,5.48214363e+01
9.760000e+00,5.50442402e+01
9.761750e+00,5.56405579e+01
9.763580e+00,5.63103381e+01
9.765000e+00,5.68329305e+01
9.767800e+00,5.78591543e+01
9.769610e+00,5.85262906e+01
9.770000e+00,5.86804958e+01
9.772020e+00,5.94759238e+01
9.775000e+00,6.06556995e+01
9.776250e+00,6.11484265e+01
9.777480e+00,6.16362608e+01
9.780000e+00,6.27106188e+01
9.780470e+00,6.29101528e+01
9.784700e+00,6.47160348e+01
9.785000e+00,6.48449286e+01
9.785350e+00,6.49946511e+01
9.788920e+00,6.66096577e+01
9.789280e+00,6.67737874e+01
9.790000e+00,6.71142029e+01
9.793210e+00,6.86251232e+01
9.795560e+00,6.97702265e+01
9.796000e+00,6.99866978e+01
9.797150e+00,7.05497901e+01
9.801080e+00,7.25508041e+01
9.802000e+00,7.30370378e+01
9.802200e+00,7.31421934e+01
9.805010e+00,7.46340851e+01
9.808830e+00,7.67330718e+01
9.808950e+00,7.67996459e+01
9.810000e+00,7.74052716e+01
9.812880e+00,7.90591792e+01
9.815000e+00,8.03222750e+01
9.815470e+00,8.06014112e+01
9.816810e+00,8.14049129e+01
9.820000e+00,8.34118866e+01
9.822110e+00,8.47355223e+01
