Te-123(n,g) ENDFB-8.0
Energy(eV) XS(b)
29.0925 2.39445
29.1234 2.37090
29.1542 2.34788
29.1851 2.32536
29.2159 2.30333
29.2776 2.26068
29.4010 2.18070
29.5244 2.10742
29.6478 2.04040
29.7712 1.97921
29.8946 1.92351
30.0180 1.87304
30.2001 1.80728
30.3822 1.75114
30.5643 1.70424
30.7464 1.66624
30.9285 1.63692
31.1106 1.61622
31.2927 1.60428
31.4748 1.60140
31.6341 1.60672
31.7934 1.61987
31.9528 1.64136
32.1121 1.67200
32.2714 1.71343
32.4308 1.76702
32.5104 1.79890
32.5901 1.83452
32.6698 1.87422
32.7494 1.91836
32.8689 1.99381
32.9884 2.08186
33.1079 2.18455
33.1677 2.24215
33.2274 2.30440
33.2872 2.37172
33.3469 2.44457
33.4067 2.52345
33.4664 2.60894
33.5262 2.70166
33.5859 2.80233
33.6457 2.91183
33.7054 3.03116
33.7680 3.16803
33.8306 3.31850
33.8932 3.48433
33.9558 3.66745
34.0184 3.87026
34.0810 4.09546
34.1436 4.34637
34.2062 4.62693
34.2688 4.94194
34.3001 5.11409
34.3314 5.29702
34.3627 5.49176
34.3940 5.69926
34.4253 5.92066
34.4565 6.15712
34.4878 6.41018
34.5191 6.68134
34.5504 6.97233
34.5817 7.28503
34.6130 7.62187
34.6443 7.98531
34.6756 8.37823
34.7069 8.80384
34.7382 9.26620
34.7695 9.76958
34.8008 10.3190
34.8321 10.9205
34.8634 11.5807
34.8947 12.3076
34.9260 13.1109
34.9573 14.0013
34.9886 14.9929
35.0043 15.5315
35.0199 16.1016
35.0356 16.7058
35.0512 17.3470
35.0669 18.0283
35.0825 18.7528
35.0982 19.5253
35.1138 20.3499
35.1295 21.2313
35.1451 22.1747
35.1607 23.1875
35.1764 24.2765
35.1920 25.4497
35.2077 26.7159
35.2248 28.2185
35.2418 29.8616
35.2589 31.6656
35.2760 33.6544
35.2931 35.8577
35.3101 38.3081
35.3272 41.0495
35.3357 42.5465
35.3443 44.1353
35.3521 45.6836
35.3599 47.3236
35.3677 49.0677
35.3756 50.9209
35.3834 52.8982
35.3912 55.0062
35.3990 57.2600
35.4069 59.6741
35.4147 62.2677
35.4225 65.0519
35.4303 68.0534
35.4382 71.2864
35.4460 74.7833
35.4538 78.5619
35.4616 82.6558
35.4694 87.0973
35.4759 91.0219
35.4823 95.2182
35.4887 99.7147
35.4951 104.536
