18-Ar_n-tot
>  18-Ar-36:0.003365
>  18-Ar-38:0.000632
>  18-Ar-40:0.996003
3.224690e-02 1.50468480e+00
3.285570e-02 1.49901936e+00
3.327140e-02 1.49515108e+00
3.340470e-02 1.49391311e+00
3.393500e-02 1.48922992e+00
3.444650e-02 1.48471302e+00
3.456250e-02 1.48369052e+00
3.552740e-02 1.47557097e+00
3.555420e-02 1.47535400e+00
3.562170e-02 1.47480758e+00
3.649220e-02 1.46777364e+00
3.679680e-02 1.46540356e+00
3.717330e-02 1.46247899e+00
3.745700e-02 1.46027540e+00
3.797190e-02 1.45643054e+00
3.842190e-02 1.45307571e+00
3.879250e-02 1.45040819e+00
3.914700e-02 1.44785670e+00
3.938670e-02 1.44613426e+00
4.035160e-02 1.43945033e+00
4.041160e-02 1.43904891e+00
4.050360e-02 1.43843344e+00
4.131640e-02 1.43300493e+00
4.186030e-02 1.42949061e+00
4.203080e-02 1.42839064e+00
4.228130e-02 1.42677464e+00
4.321690e-02 1.42103297e+00
4.364990e-02 1.41837957e+00
4.421090e-02 1.41494196e+00
4.457350e-02 1.41285868e+00
4.526910e-02 1.40886753e+00
4.593010e-02 1.40507510e+00
4.614060e-02 1.40386900e+00
4.688820e-02 1.39983628e+00
4.728680e-02 1.39768624e+00
4.807030e-02 1.39346529e+00
4.808400e-02 1.39339573e+00
4.864340e-02 1.39055542e+00
4.927980e-02 1.38732809e+00
4.935550e-02 1.38694421e+00
4.951660e-02 1.38612726e+00
4.967780e-02 1.38530980e+00
5.000000e-02 1.38367591e+00
5.067380e-02 1.38043169e+00
5.125950e-02 1.37761171e+00
5.134760e-02 1.37718800e+00
