52-Te_n-tot
> 52-Te-120:0.000900
> 52-Te-122:0.025500
> 52-Te-123:0.008900
> 52-Te-124:0.047400
> 52-Te-125:0.070700
> 52-Te-126:0.188400
> 52-Te-128:0.317400
> 52-Te-130:0.340800
3.075630e+00 8.16645293e+00
3.091690e+00 8.00262366e+00
3.107740e+00 7.84904740e+00
3.123800e+00 7.70486933e+00
3.125000e+00 7.69473380e+00
3.139850e+00 7.56932118e+00
3.155910e+00 7.44173061e+00
3.171960e+00 7.32150054e+00
3.188020e+00 7.20807877e+00
3.215800e+00 7.02643356e+00
3.243580e+00 6.86139574e+00
3.271360e+00 6.71098063e+00
3.299140e+00 6.57352392e+00
3.312500e+00 6.51296089e+00
3.326920e+00 6.44760590e+00
3.354700e+00 6.33197960e+00
3.382480e+00 6.22553810e+00
3.410260e+00 6.12734690e+00
3.430650e+00 6.06005966e+00
3.451030e+00 5.99648390e+00
3.471410e+00 5.93636134e+00
3.491790e+00 5.87945168e+00
3.500000e+00 5.85773769e+00
3.512170e+00 5.82555978e+00
3.532550e+00 5.77446895e+00
3.573310e+00 5.67979887e+00
3.614080e+00 5.59400192e+00
3.654840e+00 5.51604605e+00
3.687500e+00 5.45917288e+00
3.695600e+00 5.44507291e+00
3.736360e+00 5.38027924e+00
3.784250e+00 5.31111854e+00
3.832130e+00 5.24852621e+00
3.875000e+00 5.19763683e+00
3.880020e+00 5.19168157e+00
3.927900e+00 5.13996647e+00
3.927910e+00 5.13995607e+00
3.927920e+00 5.13994122e+00
3.927950e+00 5.13991759e+00
3.927990e+00 5.13987066e+00
3.928090e+00 5.13977558e+00
3.928270e+00 5.13958752e+00
3.928630e+00 5.13921051e+00
3.929370e+00 5.13845707e+00
3.931680e+00 5.13608491e+00
3.934000e+00 5.13372326e+00
3.938620e+00 5.12903322e+00
3.947880e+00 5.11977653e+00
3.966390e+00 5.10175014e+00
4.003400e+00 5.06750244e+00
4.040420e+00 5.03543330e+00
4.062500e+00 5.01750265e+00
4.077440e+00 5.00537535e+00
4.114460e+00 4.97718775e+00
4.151480e+00 4.95071429e+00
4.188500e+00 4.92581347e+00
4.225510e+00 4.90235994e+00
4.250000e+00 4.88794067e+00
4.281560e+00 4.86938408e+00
4.337610e+00 4.83915043e+00
