Tb-159(n,g) ENDFB-8.0
Energy(eV) XS(b)
10.8540 707.938
10.8568 730.233
10.8595 753.560
10.8622 778.063
10.8650 803.620
10.8677 830.377
10.8705 858.393
10.8732 887.731
10.8759 918.455
10.8787 950.633
10.8814 984.332
10.8842 1019.75
10.8869 1056.71
10.8897 1095.41
10.8924 1135.91
10.8951 1178.46
10.8979 1222.82
10.9006 1269.21
10.9034 1317.71
10.9061 1368.59
10.9089 1421.54
10.9116 1476.82
10.9143 1534.49
10.9171 1594.63
10.9198 1657.29
10.9226 1722.54
10.9253 1790.42
10.9308 1934.54
10.9363 2089.43
10.9418 2255.82
10.9472 2433.10
10.9527 2621.75
10.9582 2820.71
10.9637 3029.68
10.9692 3247.82
10.9761 3537.13
10.9831 3836.50
10.9971 4450.11
11.0081 4926.09
11.0190 5373.21
11.0279 5700.56
11.0324 5847.83
11.0369 5982.27
11.0413 6102.56
11.0458 6207.50
11.0502 6296.02
11.0547 6367.21
11.0585 6413.93
11.0624 6446.96
11.0662 6466.03
11.0700 6471.01
11.0731 6464.82
11.0781 6435.56
11.0830 6382.90
11.0880 6307.55
11.0930 6210.72
11.0980 6093.28
11.1029 5957.20
11.1079 5803.62
11.1129 5635.03
11.1215 5311.42
11.1302 4958.85
11.1388 4587.92
11.1474 4209.08
11.1561 3829.67
11.1648 3460.19
11.1735 3107.40
11.1778 2938.91
11.1821 2776.37
11.1865 2620.15
11.1908 2470.53
11.1952 2327.73
11.1995 2191.85
11.2038 2062.93
11.2082 1940.94
11.2125 1825.81
11.2169 1717.41
11.2206 1629.01
11.2244 1545.37
11.2281 1466.33
11.2319 1391.72
11.2356 1321.37
11.2394 1255.10
11.2431 1192.72
11.2468 1134.20
11.2506 1079.04
11.2543 1027.20
11.2581 978.508
11.2618 932.897
11.2656 889.949
11.2693 849.620
11.2731 811.746
11.2768 776.263
11.2812 737.759
11.2855 701.919
11.2898 668.536
11.2942 637.421
11.2985 608.396
11.3029 581.296
11.3072 555.970
11.3115 532.277
11.3159 510.089
11.3202 489.286
11.3246 469.761
11.3289 451.414
11.3332 434.154
11.3376 417.898
11.3419 402.570
11.3463 388.133
11.3510 373.235
11.3557 359.240
11.3605 346.020
11.3652 333.570
11.3747 310.652
11.3841 290.097
11.3936 271.583
11.4031 254.841
11.4125 239.644
11.4220 225.819
11.4307 214.186
11.4394 203.450
11.4480 193.520
11.4567 184.314
11.4654 175.763
11.4741 167.804
11.4828 160.383
11.4914 153.451
11.5001 146.965
11.5088 140.889
11.5175 135.186
11.5262 129.827
11.5348 124.785
11.5435 120.034
11.5522 115.552
11.5609 111.320
11.5782 103.530
11.5956 96.5382
11.6130 90.2375
11.6303 84.5393
11.6477 79.3687
11.6650 74.6622
11.6824 70.3657
11.6998 66.4350
11.7140 63.4580
11.7282 60.6804
11.7424 58.0809
11.7566 55.6478
11.7708 53.3640
11.7850 51.2203
11.7992 49.2038
11.8134 47.3046
11.8276 45.5126
11.8418 43.8220
11.8560 42.2244
11.8702 40.7129
11.8986 37.9240
11.9270 35.4149
11.9444 34.0027
11.9617 32.6741
11.9791 31.4226
11.9964 30.2423
12.0138 29.1279
12.0312 28.0746
12.0659 26.1344
12.1006 24.3908
12.1353 22.8183
12.1700 21.3953
12.2048 20.1038
12.2458 18.7249
12.2868 17.4862
12.3279 16.3695
12.3689 15.3596
12.4099 14.4438
12.4509 13.6107
12.4920 12.8500
12.5330 12.1536
12.5677 11.6093
12.6024 11.1025
12.6372 10.6302
12.6719 10.1894
12.7066 9.77743
12.7413 9.39205
12.7760 9.03113
12.8108 8.69286
12.8455 8.37537
12.8802 8.07722
12.9149 7.79705
12.9496 7.53362
12.9844 7.28583
13.0191 7.05267
13.0885 6.62684
13.1579 6.24993
13.2274 5.91728
13.2968 5.62538
13.3663 5.37195
13.4357 5.15590
13.5051 4.97780
13.5399 4.90367
13.5746 4.84017
13.6093 4.78807
13.6440 4.74836
13.6945 4.71555
13.7198 4.71185
13.7450 4.71795
13.7766 4.74144
13.8081 4.78565
13.8397 4.85488
13.8713 4.95484
13.8870 5.01871
13.9028 5.09337
13.9186 5.18031
13.9344 5.28133
13.9502 5.39855
13.9659 5.53458
13.9817 5.69263
13.9975 5.87666
14.0149 6.11511
14.0235 6.25095
14.0322 6.39956
14.0409 6.56241
14.0496 6.74127
14.0583 6.93814
14.0669 7.15540
14.0756 7.39584
14.0843 7.66274
14.0930 7.96001
14.1017 8.29226
14.1103 8.66498
14.1190 9.08470
14.1277 9.55918
14.1364 10.0976
14.1451 10.7107
14.1494 11.0492
14.1537 11.4113
14.1581 11.7988
14.1624 12.2139
14.1668 12.6588
14.1711 13.1356
14.1754 13.6470
14.1798 14.1955
14.1841 14.7839
14.1885 15.4150
14.1928 16.0919
14.1971 16.8176
14.2015 17.5953
14.2058 18.4283
14.2096 19.1951
14.2133 20.0078
14.2171 20.8684
14.2208 21.7791
14.2246 22.7419
14.2283 23.7586
14.2321 24.8313
14.2358 25.9584
14.2396 27.1475
14.2433 28.3971
14.2471 29.7083
14.2508 31.0782
14.2583 34.0144
14.2658 37.1984
14.2701 39.1563
14.2745 41.1946
14.2832 45.4988
14.2918 50.0743
14.3005 54.8629
14.3179 64.8208
14.3266 69.7949
14.3352 74.6241
14.3415 77.9768
14.3516 82.9064
14.3566 85.1363
14.3616 87.1820
14.3666 89.0231
14.3716 90.6408
14.3766 92.0183
14.3816 93.1409
14.3862 93.9369
14.3908 94.4996
14.3954 94.8258
14.4000 94.9126
14.4050 94.7351
14.4100 94.2769
14.4149 93.5428
14.4199 92.5431
14.4249 91.2844
14.4299 89.7817
14.4349 88.0506
14.4398 86.1129
14.4490 82.0473
14.4565 78.3557
14.4639 74.4024
14.4788 65.9926
14.4937 57.3932
14.5012 53.1766
14.5086 49.0917
14.5147 45.8696
14.5208 42.7773
14.5269 39.8291
14.5330 37.0352
14.5391 34.4024
14.5452 31.9344
14.5513 29.6320
14.5574 27.4971
14.5612 26.2687
14.5649 25.0991
14.5686 23.9869
14.5723 22.9334
14.5761 21.9312
14.5798 20.9839
14.5835 20.0844
14.5872 19.2356
14.5910 18.4309
14.5947 17.6708
14.5984 16.9530
14.6022 16.2772
14.6059 15.6380
14.6096 15.0366
14.6133 14.4680
14.6171 13.9332
14.6228 13.1646
14.6286 12.4626
14.6343 11.8212
14.6401 11.2346
14.6459 10.6978
14.6516 10.2059
14.6574 9.75450
14.6631 9.33970
14.6689 8.95790
14.6747 8.60585
14.6804 8.28064
14.6862 7.97967
14.6919 7.70059
14.6977 7.44133
14.7035 7.20001
14.7092 6.97497
14.7174 6.68186
14.7255 6.41497
14.7336 6.17082
14.7417 5.94674
14.7499 5.74044
14.7580 5.54998
14.7661 5.37366
14.7743 5.21001
14.7824 5.05757
14.7905 4.91560
14.8068 4.65872
14.8231 4.43268
14.8393 4.23235
14.8542 4.06779
14.8691 3.91889
14.8840 3.78357
14.8990 3.66007
14.9139 3.54694
14.9288 3.44293
14.9437 3.34700
14.9586 3.25830
14.9884 3.09934
15.0182 2.96114
15.0480 2.83977
15.0778 2.73235
15.1090 2.63237
15.1402 2.54291
15.1714 2.46228
15.2025 2.38914
15.2337 2.32243
15.2649 2.26129
15.3272 2.15298
15.3895 2.05978
15.4519 1.97857
15.5142 1.90697
15.5766 1.84303
15.6470 1.77827
15.7175 1.72027
15.7880 1.66799
15.8585 1.62059
15.9289 1.57738
15.9994 1.53783
16.1403 1.46802
16.2813 1.40861
16.4222 1.35809
16.5632 1.31429
16.7041 1.27664
16.8342 1.24683
16.9643 1.22132
17.0944 1.19978
17.2245 1.18201
17.3546 1.16787
17.4847 1.15726
17.6148 1.15013
17.7449 1.14653
17.9075 1.14718
18.0702 1.15389
18.2328 1.16720
18.3954 1.18778
18.4767 1.20098
18.5581 1.21663
18.6394 1.23492
18.7207 1.25603
18.8020 1.28024
18.8833 1.30791
18.9646 1.33948
19.0459 1.37545
19.1327 1.41939
19.2194 1.46998
19.3061 1.52838
19.3929 1.59593
19.4796 1.67431
19.5230 1.71831
19.5663 1.76601
19.6097 1.81786
19.6531 1.87427
19.6965 1.93577
19.7398 2.00294
19.8049 2.11591
19.8374 2.17868
19.8699 2.24616
19.9024 2.31888
19.9350 2.39735
19.9675 2.48223
20.0000 2.57423
20.0460 2.71814
20.0920 2.88083
20.1150 2.97028
20.1379 3.06578
20.1609 3.16791
20.1839 3.27728
20.2069 3.39461
20.2299 3.52070
20.2529 3.65645
20.2759 3.80290
20.2989 3.96122
20.3219 4.13277
20.3449 4.31914
20.3678 4.52212
20.3919 4.75496
20.4160 5.01108
20.4401 5.29391
20.4642 5.60739
20.4883 5.95638
20.5123 6.34624
20.5364 6.78397
20.5485 7.02335
20.5605 7.27799
20.5824 7.78486
20.5934 8.06190
20.6043 8.35623
20.6152 8.66996
20.6262 9.00458
20.6371 9.36208
20.6481 9.74432
20.6590 10.1545
20.6700 10.5951
20.6809 11.0695
20.6919 11.5808
20.7028 12.1342
20.7138 12.7343
20.7247 13.3867
20.7357 14.0975
20.7477 14.9581
20.7598 15.9115
20.7718 16.9736
20.7838 18.1627
20.7899 18.8130
20.7959 19.5029
