33-As_n-g
>  33-As-75:1.000000
7.137880e+01 2.00833000e-01
7.212170e+01 1.96312000e-01
7.286460e+01 1.92704000e-01
7.360750e+01 1.89989000e-01
7.435040e+01 1.88167000e-01
7.509330e+01 1.87259000e-01
7.583620e+01 1.87307000e-01
7.657900e+01 1.88379000e-01
7.732190e+01 1.90575000e-01
7.806480e+01 1.94032000e-01
7.843630e+01 1.96282000e-01
7.880770e+01 1.98941000e-01
7.917920e+01 2.02015000e-01
7.955060e+01 2.05540000e-01
7.992210e+01 2.09525000e-01
8.029350e+01 2.14130000e-01
8.066500e+01 2.19380000e-01
8.103640e+01 2.25336000e-01
8.149040e+01 2.33706000e-01
8.194440e+01 2.43461000e-01
8.239840e+01 2.54841000e-01
8.262540e+01 2.61232000e-01
8.285240e+01 2.68148000e-01
8.307940e+01 2.75639000e-01
8.330630e+01 2.83762000e-01
8.353330e+01 2.92580000e-01
8.376030e+01 3.02166000e-01
8.398730e+01 3.12601000e-01
8.421430e+01 3.23977000e-01
8.444130e+01 3.36382000e-01
8.466830e+01 3.49924000e-01
8.489530e+01 3.64778000e-01
8.512230e+01 3.81143000e-01
8.534930e+01 3.99200000e-01
8.557630e+01 4.19160000e-01
8.580330e+01 4.41285000e-01
8.603030e+01 4.65888000e-01
8.625730e+01 4.93344000e-01
8.648430e+01 5.24096000e-01
8.670100e+01 5.57023000e-01
8.691760e+01 5.94011000e-01
