Hf-177(n,g) ENDFB-8.0
Energy(eV) XS(b)
48.3095 5723.97
48.3174 5611.38
48.3257 5479.99
48.3341 5336.97
48.3508 5020.74
48.3675 4673.77
48.3841 4307.56
48.4200 3504.51
48.4379 3116.93
48.4469 2930.60
48.4558 2750.39
48.4648 2576.97
48.4737 2410.88
48.4827 2252.51
48.4916 2102.32
48.5006 1960.13
48.5096 1826.16
48.5185 1700.38
48.5275 1582.79
48.5373 1463.28
48.5470 1352.94
48.5568 1251.15
48.5666 1157.69
48.5764 1071.89
48.5861 993.433
48.5959 921.734
48.6057 856.290
48.6146 801.352
48.6236 750.896
48.6325 704.568
48.6415 662.033
48.6505 622.972
48.6594 587.088
48.6684 554.102
48.6773 523.788
48.6863 495.841
48.6953 470.077
48.7042 446.297
48.7132 424.318
48.7221 403.975
48.7311 385.116
48.7401 367.607
48.7490 351.342
48.7580 336.174
48.7669 322.023
48.7759 308.799
48.7848 296.423
48.7938 284.820
48.8028 273.927
48.8117 263.684
48.8207 254.039
48.8296 244.945
48.8386 236.357
48.8565 220.553
48.8744 206.359
48.8924 193.561
48.9062 184.498
48.9201 176.082
48.9339 168.252
48.9477 160.956
48.9616 154.136
48.9754 147.759
48.9893 141.777
49.0031 136.165
49.0170 130.886
49.0308 125.919
49.0447 121.233
49.0585 116.813
49.0862 108.680
49.1139 101.383
49.1318 97.0527
49.1497 92.9984
49.1676 89.1970
49.1856 85.6276
49.2035 82.2712
49.2214 79.1112
49.2393 76.1322
49.2572 73.3221
49.2752 70.6653
49.2931 68.1521
49.3289 63.5175
49.3647 59.3439
49.4006 55.5738
49.4364 52.1544
49.4722 49.0452
49.5081 46.2078
49.5439 43.6130
49.5798 41.2324
49.6156 39.0441
49.6514 37.0269
49.6873 35.1642
49.7264 33.2890
49.7654 31.5615
49.8045 29.9657
49.8436 28.4892
49.8827 27.1195
49.9218 25.8474
49.9609 24.6636
50.0000 23.5602
50.0350 22.6356
50.0699 21.7654
50.1049 20.9451
50.1398 20.1711
50.1748 19.4397
50.2097 18.7484
50.2796 17.4739
50.3495 16.3277
50.4194 15.2936
50.4893 14.3575
50.5592 13.5077
50.6292 12.7340
50.6991 12.0282
50.7690 11.3827
50.8389 10.7912
50.9088 10.2483
50.9787 9.74946
51.0486 9.29054
51.1185 8.86791
51.1789 8.52945
51.2392 8.21368
51.2996 7.91897
51.3600 7.64404
51.4203 7.38782
51.4807 7.14938
51.5411 6.92795
51.6014 6.72287
51.6618 6.53360
51.7222 6.35985
51.7826 6.20140
51.8429 6.05829
51.9033 5.93086
51.9637 5.81982
52.0240 5.72632
52.0844 5.65193
52.1607 5.58868
52.2369 5.56562
52.2878 5.57708
52.3386 5.61456
52.3895 5.68350
52.4403 5.79149
52.4657 5.86331
52.4911 5.94924
52.5166 6.05137
52.5420 6.17230
52.5674 6.31522
52.5928 6.48417
52.6182 6.68431
52.6436 6.92236
52.6691 7.20771
52.6818 7.37193
52.6945 7.55317
52.7072 7.75397
52.7199 7.97739
52.7326 8.22722
52.7453 8.50812
52.7580 8.82586
52.7707 9.18761
52.7835 9.60227
52.7962 10.0809
52.8025 10.3486
52.8089 10.6371
52.8152 10.9498
52.8216 11.2879
52.8279 11.6553
52.8343 12.0539
52.8406 12.4874
52.8470 12.9595
52.8553 13.6457
52.8637 14.4146
52.8720 15.2782
52.8804 16.2490
52.8887 17.3408
52.8929 17.9368
52.8970 18.5690
52.9012 19.2394
52.9054 19.9503
52.9096 20.7040
52.9137 21.5031
52.9179 22.3520
52.9221 23.2494
52.9262 24.2000
52.9304 25.2065
52.9346 26.2718
52.9388 27.3990
52.9429 28.5911
52.9471 29.8511
52.9513 31.1823
52.9554 32.5879
52.9596 34.0713
52.9638 35.6357
52.9679 37.2845
52.9721 39.0212
52.9763 40.8490
52.9805 42.7715
52.9848 44.8914
52.9892 47.1228
52.9936 49.4695
52.9979 51.9351
53.0023 54.5232
53.0067 57.2374
53.0110 60.0809
53.0154 63.0499
53.0198 66.1609
53.0241 69.4100
53.0329 76.3319
53.0416 83.8311
53.0504 91.9081
53.0591 100.585
53.0678 109.849
53.0766 119.686
53.0853 130.077
