Ne-22(n,tot) ENDFB-8.0
Energy(eV) XS(b)
22707.8 3.76837
22713.3 3.76829
22724.1 3.76813
22735.0 3.76797
22745.9 3.76783
22756.7 3.76768
22767.6 3.76754
22781.8 3.76736
22796.0 3.76718
22810.2 3.76700
22824.4 3.76682
22838.6 3.76664
22852.8 3.76647
22867.0 3.76629
22881.2 3.76612
22909.6 3.76577
22938.0 3.76542
22966.4 3.76507
22994.8 3.76473
23038.3 3.76420
23081.7 3.76367
23125.2 3.76315
23168.6 3.76262
23342.4 3.76054
23690.0 3.75642
24759.5 3.74406
25829.0 3.73214
26470.8 3.72518
28075.0 3.70836
29679.3 3.69227
32887.8 3.66188
44866.4 3.56309
50000.0 3.52544
62500.0 3.44107
75000.0 3.36378
87500.0 3.29118
100000 3.22179
129441 3.06554
162563 2.89251
195684 2.71190
215925 2.59291
236166 2.46450
269287 2.23401
279408 2.16518
284468 2.13451
289528 2.10898
293208 2.09572
296889 2.08926
299649 2.09071
302409 2.09965
305169 2.11870
307929 2.15154
310459 2.19843
311724 2.22938
312989 2.26703
314254 2.31158
315519 2.36544
316784 2.42967
318049 2.50543
319027 2.57472
320005 2.65437
320982 2.74591
321960 2.85122
322937 2.97259
323915 3.11083
324892 3.27218
325381 3.36222
325870 3.45927
326502 3.59701
327135 3.74802
327767 3.91466
328400 4.09989
329032 4.30332
329665 4.52989
330297 4.78075
330930 5.05711
331572 5.37168
331893 5.53957
332214 5.71868
332855 6.10479
333176 6.31300
333497 6.53457
334139 7.00745
334781 7.53565
335102 7.81631
335423 8.11466
336064 8.74942
336465 9.17939
336866 9.63031
337668 10.5916
338469 11.6383
339271 12.7418
340874 14.9555
341275 15.4690
341675 15.9504
342076 16.3954
342477 16.7963
342878 17.1242
343279 17.3902
343679 17.6019
344080 17.7294
344614 17.7771
345015 17.7157
345416 17.5885
345817 17.4016
346218 17.1562
346618 16.8427
347019 16.4885
347821 15.6821
351027 11.9879
351824 11.1364
352622 10.3378
353419 9.60721
353817 9.26063
354216 8.93552
355013 8.32002
355811 7.76581
356209 7.50419
356608 7.25978
357405 6.79783
358226 6.37019
359047 5.97940
359867 5.62345
360688 5.30048
361509 5.00310
362329 4.73170
363150 4.48189
363971 4.25028
364791 4.03773
365612 3.83956
366433 3.65507
367254 3.48366
368074 3.32252
368895 3.17197
369716 3.03038
370536 2.89655
371879 2.69463
373222 2.50986
374565 2.34014
375237 2.25946
375908 2.18391
376580 2.10959
377251 2.04002
378594 1.90768
379937 1.78643
381280 1.67621
382325 1.59898
383369 1.52883
384414 1.46605
384936 1.43640
385458 1.40979
386503 1.36358
387547 1.32676
388070 1.31214
388592 1.30020
389114 1.29110
389636 1.28506
390233 1.28229
391052 1.28633
391462 1.29111
391872 1.29903
392691 1.32167
393100 1.33724
393510 1.35584
393919 1.37678
394329 1.40093
395148 1.45948
395558 1.49322
395967 1.53159
396786 1.61732
397196 1.66702
397605 1.72005
398015 1.77631
398424 1.83798
399243 1.97263
399653 2.04679
400062 2.12559
400472 2.20788
400881 2.29483
401700 2.48261
402110 2.58224
402519 2.68739
403338 2.90755
404008 3.10006
404678 3.30194
406019 3.73030
407359 4.17900
408699 4.63838
410337 5.19170
411156 5.46040
411975 5.71518
412794 5.95680
413613 6.18641
414432 6.39580
415251 6.58529
416070 6.75957
416889 6.91311
417708 7.04339
418527 7.15858
419346 7.25640
420165 7.33116
421803 7.44231
423589 7.49339
425376 7.49657
427332 7.44911
429288 7.36809
431243 7.26269
433199 7.14259
441021 6.61166
445170 6.34080
449320 6.09080
453469 5.86355
457619 5.65839
461768 5.47411
465917 5.30789
470067 5.15761
474216 5.02135
478366 4.89819
482515 4.78495
490814 4.58598
499113 4.41606
507411 4.26899
516464 4.12942
525518 4.00687
534571 3.89790
543624 3.79988
560222 3.64245
576819 3.50593
593417 3.38439
610014 3.27367
616050 3.23549
632647 3.13484
649245 3.03877
682440 2.85460
724688 2.63053
741286 2.55229
749584 2.51961
757883 2.49498
763919 2.48523
769200 2.48532
774481 2.49576
779762 2.52215
782402 2.54292
785043 2.57000
789192 2.62934
791267 2.66789
793342 2.71422
795416 2.76843
797491 2.83305
799566 2.90901
801640 2.99721
803727 3.10307
805814 3.22559
807901 3.36868
808945 3.44900
809988 3.53643
812075 3.72893
814162 3.95415
815206 4.07692
816249 4.21224
818336 4.50472
820479 4.85031
821550 5.03583
822621 5.23533
824764 5.66093
826906 6.12455
831191 7.11374
833333 7.60668
835476 8.07132
836644 8.29895
837813 8.50696
838982 8.69379
840150 8.85696
841709 9.02378
843268 9.13607
844826 9.19354
846385 9.19835
847624 9.16421
848862 9.10435
850101 9.02184
851339 8.91926
852578 8.79856
853816 8.65440
856293 8.35630
866201 7.04957
869256 6.68157
872312 6.34238
875367 6.03253
878422 5.75091
881478 5.49717
884533 5.26539
887588 5.05464
890644 4.86371
893699 4.68802
896754 4.52763
899809 4.37977
902865 4.24225
908975 3.99661
915086 3.78028
921196 3.58634
927307 3.40939
937306 3.14585
947305 2.90146
971748 2.32439
983969 2.03017
990079 1.88663
993135 1.81889
996190 1.75572
998968 1.70555
1.00036E+06 1.68316
1.00175E+06 1.66425
1.00313E+06 1.64735
1.00452E+06 1.63497
1.00730E+06 1.62190
1.00889E+06 1.62500
1.01049E+06 1.63704
1.01208E+06 1.65931
1.01288E+06 1.67380
1.01368E+06 1.69214
1.01527E+06 1.73983
1.01686E+06 1.80161
1.01766E+06 1.83814
1.01846E+06 1.87962
1.01925E+06 1.92565
1.02005E+06 1.97641
1.02087E+06 2.03422
1.02170E+06 2.09744
1.02252E+06 2.16607
1.02334E+06 2.24114
1.02416E+06 2.32040
1.02499E+06 2.40609
1.02581E+06 2.49500
1.02663E+06 2.59189
1.02746E+06 2.69082
1.02828E+06 2.79696
1.02992E+06 3.01807
1.03157E+06 3.25116
1.03321E+06 3.49102
1.03541E+06 3.80985
1.03760E+06 4.11534
1.03979E+06 4.39024
1.04089E+06 4.51527
1.04199E+06 4.63109
1.04309E+06 4.73305
1.04418E+06 4.82497
1.04638E+06 4.97961
1.04857E+06 5.08960
1.05076E+06 5.16717
1.05296E+06 5.20878
1.05515E+06 5.23300
1.05808E+06 5.23047
1.06243E+06 5.18190
1.06678E+06 5.10108
1.07548E+06 4.89743
1.08381E+06 4.69245
1.09214E+06 4.49869
1.09972E+06 4.33766
1.10729E+06 4.19048
1.11487E+06 4.05698
1.12245E+06 3.93456
1.13078E+06 3.81153
1.13911E+06 3.69826
1.15578E+06 3.49446
1.17093E+06 3.32859
1.19517E+06 3.08802
1.21941E+06 2.86977
1.23608E+06 2.73677
1.24441E+06 2.67998
1.25274E+06 2.63429
1.25729E+06 2.61669
1.25956E+06 2.61006
1.26070E+06 2.60755
1.26127E+06 2.60629
1.26155E+06 2.60566
1.26169E+06 2.60864
1.26173E+06 2.62383
1.26175E+06 2.64340
1.26176E+06 2.67440
1.26178E+06 2.72419
1.26179E+06 2.75623
1.26180E+06 2.79291
1.26182E+06 2.87808
1.26183E+06 2.96754
1.26184E+06 3.34072
1.30000E+06 3.28994
1.33304E+06 3.24635
1.33304E+06 3.24635
1.40000E+06 3.26616
1.50000E+06 3.19008
1.60000E+06 3.11541
1.70000E+06 3.04363
1.80000E+06 2.97318
1.90000E+06 2.90631
2.00000E+06 2.84074
2.05718E+06 2.80546
2.10000E+06 2.77904
2.20000E+06 2.71862
2.30000E+06 2.66221
2.40000E+06 2.60696
2.50000E+06 2.55556
2.60000E+06 2.50534
2.70000E+06 2.45885
2.80000E+06 2.41351
2.90000E+06 2.37168
3.00000E+06 2.33094
3.10000E+06 2.29349
3.20000E+06 2.25712
3.30000E+06 2.22377
3.40000E+06 2.19144
3.50000E+06 2.15786
3.51171E+06 2.15399
3.60000E+06 2.13336
3.70000E+06 2.10731
3.80000E+06 2.08219
3.90000E+06 2.05933
4.00000E+06 2.03736
4.20000E+06 1.99822
4.40000E+06 1.96419
4.60000E+06 1.93465
4.66017E+06 1.91532
4.66017E+06 1.91532
4.80000E+06 1.90909
5.00000E+06 1.88687
5.20000E+06 1.86752
5.38234E+06 1.84676
5.38234E+06 1.84676
5.40000E+06 1.85061
5.57635E+06 1.83167
5.57635E+06 1.83167
5.60000E+06 1.83573
5.60919E+06 1.83365
5.60919E+06 1.83365
