16-S_n-tot
>   16-S-32:0.949995
>   16-S-33:0.007501
>   16-S-34:0.042504
1.258800e+04 8.83072690e-01
1.266200e+04 8.82234639e-01
1.271240e+04 8.81655036e-01
1.276280e+04 8.81066506e-01
1.281320e+04 8.80467551e-01
1.286360e+04 8.79855244e-01
1.290060e+04 8.79395527e-01
1.293760e+04 8.78925234e-01
1.297450e+04 8.78443267e-01
1.301150e+04 8.77944771e-01
1.304510e+04 8.77475360e-01
1.307870e+04 8.76986673e-01
1.311230e+04 8.76474058e-01
1.314590e+04 8.75931740e-01
1.316440e+04 8.75617498e-01
1.318290e+04 8.75290130e-01
1.320140e+04 8.74947685e-01
1.321990e+04 8.74588138e-01
1.323840e+04 8.74208865e-01
1.325690e+04 8.73807689e-01
1.327540e+04 8.73382586e-01
1.328460e+04 8.73161572e-01
1.329380e+04 8.72934858e-01
1.330180e+04 8.72734360e-01
1.330980e+04 8.72531462e-01
1.331780e+04 8.72327513e-01
1.332580e+04 8.72125139e-01
1.333370e+04 8.71929545e-01
1.334170e+04 8.71744798e-01
1.334970e+04 8.71582779e-01
1.335770e+04 8.71460963e-01
1.336100e+04 8.71428530e-01
1.336690e+04 8.71408267e-01
1.337280e+04 8.71455060e-01
1.337580e+04 8.71513095e-01
1.337870e+04 8.71602963e-01
1.338160e+04 8.71730709e-01
1.338460e+04 8.71904331e-01
1.338690e+04 8.72082501e-01
1.338920e+04 8.72302825e-01
1.339150e+04 8.72574604e-01
1.339380e+04 8.72908265e-01
1.339610e+04 8.73317008e-01
1.339840e+04 8.73816960e-01
1.339960e+04 8.74108251e-01
1.340080e+04 8.74427745e-01
1.340190e+04 8.74785596e-01
1.340310e+04 8.75177398e-01
1.340440e+04 8.75701184e-01
1.340580e+04 8.76288248e-01
1.340720e+04 8.76958421e-01
1.340850e+04 8.77714655e-01
1.340990e+04 8.78580448e-01
1.341130e+04 8.79560401e-01
1.341260e+04 8.80690323e-01
1.341330e+04 8.81310663e-01
1.341400e+04 8.81975257e-01
1.341510e+04 8.83222997e-01
1.341630e+04 8.84617724e-01
1.341690e+04 8.85388857e-01
1.341750e+04 8.86209870e-01
1.341800e+04 8.87085817e-01
1.341860e+04 8.88002089e-01
1.341920e+04 8.88996595e-01
1.341980e+04 8.90058907e-01
1.342030e+04 8.91195505e-01
1.342090e+04 8.92388705e-01
1.342150e+04 8.93688266e-01
1.342210e+04 8.95081211e-01
1.342270e+04 8.96575717e-01
1.342320e+04 8.98152909e-01
1.342410e+04 9.00882553e-01
1.342460e+04 9.02368311e-01
1.342500e+04 9.03907577e-01
1.342550e+04 9.05574703e-01
1.342590e+04 9.07303963e-01
1.342640e+04 9.09179160e-01
1.342680e+04 9.11126392e-01
1.342720e+04 9.13241716e-01
1.342770e+04 9.15490225e-01
1.342810e+04 9.17883752e-01
1.342860e+04 9.20372435e-01
1.342900e+04 9.23082643e-01
1.342950e+04 9.25903459e-01
1.342990e+04 9.28977829e-01
1.343040e+04 9.32180134e-01
1.343090e+04 9.36724022e-01
1.343150e+04 9.41663247e-01
1.343210e+04 9.47033765e-01
1.343270e+04 9.52767320e-01
1.343330e+04 9.59104684e-01
1.343380e+04 9.65989857e-01
1.343440e+04 9.73460585e-01
1.343500e+04 9.81413611e-01
1.343560e+04 9.90166218e-01
1.343610e+04 9.99621147e-01
1.343670e+04 1.00980790e+00
1.343730e+04 1.02055795e+00
1.343790e+04 1.03226585e+00
1.343850e+04 1.04475758e+00
1.343900e+04 1.05802815e+00
1.343960e+04 1.07180926e+00
1.344030e+04 1.08863542e+00
1.344090e+04 1.10604089e+00
1.344160e+04 1.12415868e+00
1.344220e+04 1.14284453e+00
1.344350e+04 1.18144760e+00
1.344420e+04 1.20060124e+00
1.344480e+04 1.21939810e+00
1.344550e+04 1.23754289e+00
1.344610e+04 1.25473459e+00
1.344680e+04 1.27066441e+00
1.344740e+04 1.28483331e+00
1.344810e+04 1.29741105e+00
1.344870e+04 1.30792333e+00
1.344940e+04 1.31616863e+00
1.345000e+04 1.32192844e+00
1.345050e+04 1.32482021e+00
1.345100e+04 1.32608507e+00
1.345150e+04 1.32590379e+00
1.345190e+04 1.32467115e+00
1.345230e+04 1.32241916e+00
1.345270e+04 1.31918083e+00
1.345320e+04 1.31488838e+00
1.345360e+04 1.30979511e+00
1.345440e+04 1.29717532e+00
1.345530e+04 1.28155948e+00
1.345610e+04 1.26390519e+00
