Os-187(n,g) ENDFB-8.0
Energy(eV) XS(b)
44.6406 7777.98
44.6488 7879.99
44.6569 7959.38
44.6650 8015.09
44.6725 8045.09
44.6800 8054.22
44.6900 8033.79
44.7000 7976.45
44.7081 7903.17
44.7163 7806.84
44.7244 7688.50
44.7326 7549.38
44.7407 7390.93
44.7488 7214.75
44.7570 7022.60
44.7651 6816.31
44.7792 6431.83
44.7933 6021.39
44.8214 5161.83
44.8355 4730.84
44.8496 4310.14
44.8636 3905.53
44.8777 3522.62
44.8918 3164.74
44.8988 2995.85
44.9059 2834.25
44.9129 2679.58
44.9199 2532.33
44.9270 2392.08
44.9340 2259.16
44.9410 2133.10
44.9481 2013.94
44.9551 1901.50
44.9621 1795.73
44.9692 1696.09
44.9762 1602.63
44.9833 1514.80
44.9903 1432.61
44.9973 1355.53
45.0044 1283.41
45.0114 1215.97
45.0184 1153.03
45.0255 1094.15
45.0325 1039.22
45.0395 987.843
45.0466 939.926
45.0536 895.101
45.0607 853.218
45.0677 814.071
45.0747 777.513
45.0818 743.257
45.0888 711.229
45.0958 681.177
45.1029 653.037
45.1099 626.589
45.1169 601.747
45.1240 578.392
45.1310 556.442
45.1381 535.735
45.1451 516.235
45.1521 497.801
45.1592 480.406
45.1688 458.157
45.1783 437.515
45.1879 418.288
45.1975 400.382
45.2071 383.644
45.2167 368.002
45.2263 353.330
45.2359 339.574
45.2455 326.631
45.2551 314.459
45.2647 302.973
45.2743 292.142
45.2935 272.208
45.3127 254.325
45.3267 242.332
45.3408 231.201
45.3549 220.842
45.3690 211.182
45.3830 202.152
45.3971 193.709
45.4112 185.796
45.4252 178.368
45.4393 171.381
45.4534 164.809
45.4675 158.615
45.4815 152.769
45.4956 147.242
45.5097 142.019
45.5378 132.383
45.5660 123.706
45.5941 115.868
45.6223 108.759
45.6504 102.293
45.6786 96.3915
45.7067 90.9932
45.7348 86.0403
45.7630 81.4846
45.7898 77.4667
45.8167 73.7409
45.8436 70.2791
45.8704 67.0578
45.8973 64.0527
45.9242 61.2468
45.9510 58.6208
45.9779 56.1614
46.0048 53.8531
46.0316 51.6853
46.0585 49.6455
46.0854 47.7250
46.1122 45.9136
46.1391 44.2042
46.1660 42.5882
46.1928 41.0600
46.2210 39.5453
46.2491 38.1135
46.3054 35.4738
46.3617 33.0997
46.4180 30.9565
46.4743 29.0153
46.5306 27.2514
46.5869 25.6438
46.6431 24.1748
46.6841 23.1843
46.7250 22.2535
46.7660 21.3778
46.8069 20.5533
46.8478 19.7756
46.8888 19.0416
46.9297 18.3481
46.9706 17.6921
47.0269 16.8461
47.0832 16.0592
47.1395 15.3259
47.1958 14.6414
47.2521 14.0017
47.3084 13.4030
47.3647 12.8420
47.4209 12.3157
47.4772 11.8211
47.5335 11.3558
47.5898 10.9176
47.6461 10.5043
47.7024 10.1142
47.7587 9.74555
47.8713 9.06655
47.9838 8.45646
48.0964 7.90634
48.2090 7.40859
48.3216 6.95681
48.4342 6.54551
48.5467 6.17002
48.6593 5.82632
48.7719 5.51097
48.8486 5.31062
48.9254 5.12119
49.0789 4.77237
49.2324 4.45937
49.3859 4.17649
49.5395 3.91983
49.6930 3.68670
49.8465 3.47434
50.0000 3.28025
