Co-59(n,g) ENDFB-8.0
Energy(eV) XS(b)
2856.01 0.484499
2856.10 0.515339
2856.20 0.549172
2856.29 0.587131
2856.38 0.628854
2856.48 0.675733
2856.57 0.727305
2856.67 0.785273
2856.76 0.849034
2856.86 0.923873
2856.95 1.00740
2857.05 1.10053
2857.15 1.20423
2857.25 1.31953
2857.35 1.44749
2857.44 1.58924
2857.54 1.74592
2857.64 1.91869
2857.74 2.10872
2857.84 2.31717
2857.93 2.54519
2858.03 2.79384
2858.13 3.06414
2858.23 3.35702
2858.33 3.66990
2858.38 3.86819
2858.44 4.07500
2858.50 4.29041
2858.56 4.51447
2858.67 4.98866
2858.79 5.49741
2858.91 6.04008
2859.02 6.61538
2859.14 7.22143
2859.25 7.85008
2859.43 8.87012
2859.61 9.93375
2859.96 12.1137
2860.00 12.3326
2860.10 12.9223
2860.20 13.4993
2860.39 14.5970
2860.56 15.4649
2860.73 16.2261
2860.83 16.6128
2860.93 16.9513
2861.02 17.2455
2861.12 17.4886
2861.25 17.7268
2861.38 17.8676
2861.50 17.9109
2861.62 17.8655
2861.74 17.7315
2861.85 17.5550
2861.95 17.3209
2862.04 17.0506
2862.14 16.7377
2862.26 16.2771
2862.38 15.7542
2862.47 15.3007
2862.57 14.8167
2862.75 13.7788
2862.98 12.4635
2863.20 11.1006
2863.39 9.93895
2863.58 8.81144
2863.77 7.73410
2863.86 7.21722
2863.96 6.72439
2864.04 6.31069
2864.12 5.91289
2864.20 5.53157
2864.28 5.17148
2864.37 4.82403
2864.45 4.49781
2864.53 4.18479
2864.61 3.89249
2864.69 3.61349
2864.77 3.35120
2864.86 3.10523
2864.94 2.87783
2865.02 2.66287
2865.10 2.46504
2865.18 2.27885
2865.26 2.10820
2865.33 1.98038
2865.39 1.86209
2865.46 1.74931
2865.52 1.64518
2865.59 1.54610
2865.65 1.45481
2865.72 1.36811
2865.78 1.28836
2865.84 1.21276
2865.91 1.14333
2865.97 1.07759
2866.04 1.01730
2866.17 0.908054
2866.29 0.814194
2866.42 0.732383
2866.55 0.661704
2866.68 0.600631
2866.81 0.547816
2866.94 0.502073
2867.07 0.462367
2867.20 0.427805
2867.33 0.397834
2867.45 0.372879
2867.57 0.350904
2867.81 0.313602
2868.05 0.283429
2868.29 0.258678
2868.53 0.237852
2868.77 0.220200
2869.01 0.204907
2869.25 0.191614
2869.49 0.179848
2869.73 0.169435
2870.21 0.151691
2870.69 0.137182
2871.17 0.125118
2871.86 0.111063
2872.55 0.0998419
2873.24 0.0907020
2873.92 0.0831720
2874.47 0.0780504
2875.02 0.0735834
2876.12 0.0661957
2877.16 0.0606912
2878.19 0.0562143
2879.22 0.0525214
2880.25 0.0494413
2881.28 0.0468473
2882.31 0.0446450
2884.37 0.0411373
2886.44 0.0384747
2888.50 0.0363984
2890.56 0.0347574
2892.62 0.0334405
2896.20 0.0317122
2899.77 0.0304778
2903.35 0.0295323
2906.92 0.0288119
2910.49 0.0282543
2914.07 0.0278166
2921.22 0.0271888
2928.37 0.0267961
2935.52 0.0265165
2942.66 0.0263307
2949.81 0.0262142
2967.41 0.0260993
2989.41 0.0261505
3011.40 0.0263215
3033.40 0.0265437
3055.40 0.0268208
3077.39 0.0271212
3099.39 0.0274591
3143.38 0.0281989
3187.38 0.0290403
3209.37 0.0294910
3231.37 0.0299724
3253.37 0.0304696
3275.36 0.0309994
3319.35 0.0321308
3354.55 0.0331256
3389.74 0.0342046
3424.94 0.0353765
3460.13 0.0366518
