55-Cs_n-tot
> 55-Cs-133:1.000000
7.615980e+00 1.83924000e+01
7.667210e+00 1.76002000e+01
7.704770e+00 1.70615000e+01
7.742340e+00 1.65554000e+01
7.779910e+00 1.60793000e+01
7.817480e+00 1.56308000e+01
7.855050e+00 1.52078000e+01
7.892620e+00 1.48085000e+01
7.930190e+00 1.44310000e+01
7.967760e+00 1.40738000e+01
8.042890e+00 1.34145000e+01
8.118030e+00 1.28207000e+01
8.193170e+00 1.22838000e+01
8.268300e+00 1.17967000e+01
8.343440e+00 1.13534000e+01
8.418580e+00 1.09487000e+01
8.493720e+00 1.05783000e+01
8.568850e+00 1.02384000e+01
8.643990e+00 9.92571000e+00
8.719130e+00 9.63751000e+00
8.794270e+00 9.37142000e+00
8.869400e+00 9.12547000e+00
8.927460e+00 8.94822000e+00
8.985530e+00 8.78156000e+00
9.043590e+00 8.62528000e+00
9.101650e+00 8.47970000e+00
9.159710e+00 8.34616000e+00
9.217770e+00 8.22899000e+00
9.246800e+00 8.18055000e+00
9.275830e+00 8.14493000e+00
9.290340e+00 8.13509000e+00
9.304860e+00 8.13341000e+00
9.319370e+00 8.14302000e+00
9.333890e+00 8.16791000e+00
9.347550e+00 8.20947000e+00
9.361210e+00 8.27274000e+00
9.374870e+00 8.36121000e+00
9.388530e+00 8.47682000e+00
9.403050e+00 8.62849000e+00
9.417560e+00 8.80428000e+00
9.446590e+00 9.17821000e+00
9.457180e+00 9.29962000e+00
9.467770e+00 9.40041000e+00
9.478350e+00 9.47316000e+00
9.488940e+00 9.51186000e+00
9.494470e+00 9.51714000e+00
9.500000e+00 9.51173000e+00
9.508290e+00 9.48347000e+00
9.516590e+00 9.43165000e+00
9.524880e+00 9.35784000e+00
9.533180e+00 9.26448000e+00
9.543290e+00 9.12886000e+00
9.553390e+00 8.97550000e+00
9.573610e+00 8.64330000e+00
9.584640e+00 8.46256000e+00
9.595670e+00 8.29078000e+00
9.606690e+00 8.13256000e+00
9.617720e+00 7.99066000e+00
9.629670e+00 7.85656000e+00
9.641610e+00 7.74249000e+00
9.653560e+00 7.64678000e+00
9.665510e+00 7.56705000e+00
9.677450e+00 7.50065000e+00
9.689400e+00 7.44502000e+00
9.701340e+00 7.39784000e+00
9.713290e+00 7.35719000e+00
9.737180e+00 7.28961000e+00
9.761080e+00 7.23374000e+00
9.808860e+00 7.14032000e+00
9.856650e+00 7.05955000e+00
9.904430e+00 6.98589000e+00
1.000000e+01 6.85220000e+00
1.007240e+01 6.75933000e+00
1.014480e+01 6.67180000e+00
1.028960e+01 6.51040000e+00
1.043450e+01 6.36434000e+00
1.057930e+01 6.23122000e+00
1.072410e+01 6.10926000e+00
1.086890e+01 5.99711000e+00
1.101370e+01 5.89362000e+00
1.115850e+01 5.79786000e+00
1.129680e+01 5.71340000e+00
1.143500e+01 5.63425000e+00
1.157320e+01 5.56009000e+00
1.171150e+01 5.49039000e+00
1.184970e+01 5.42510000e+00
1.198790e+01 5.36371000e+00
1.212620e+01 5.30574000e+00
1.226440e+01 5.25117000e+00
1.240260e+01 5.19959000e+00
1.254090e+01 5.15071000e+00
1.281730e+01 5.06066000e+00
1.309380e+01 4.97944000e+00
1.337030e+01 4.90596000e+00
1.363360e+01 4.84238000e+00
1.389690e+01 4.78435000e+00
1.416020e+01 4.73131000e+00
1.442350e+01 4.68286000e+00
1.468680e+01 4.63869000e+00
1.495010e+01 4.59853000e+00
1.521340e+01 4.56219000e+00
1.547670e+01 4.52960000e+00
1.576630e+01 4.49809000e+00
1.605590e+01 4.47125000e+00
1.634560e+01 4.44966000e+00
1.649040e+01 4.44269000e+00
1.652660e+01 4.44255000e+00
1.656280e+01 4.44430000e+00
1.659900e+01 4.44922000e+00
1.663520e+01 4.45845000e+00
1.669520e+01 4.48111000e+00
1.672520e+01 4.49140000e+00
1.675530e+01 4.49690000e+00
1.677000e+01 4.49715000e+00
1.678930e+01 4.49483000e+00
1.680860e+01 4.48974000e+00
1.684710e+01 4.47378000e+00
1.686300e+01 4.46621000e+00
1.689470e+01 4.45169000e+00
1.692640e+01 4.43983000e+00
1.696610e+01 4.42974000e+00
1.700580e+01 4.42391000e+00
1.708510e+01 4.41876000e+00
1.724380e+01 4.41575000e+00
1.740250e+01 4.41618000e+00
1.756110e+01 4.41943000e+00
1.771980e+01 4.42564000e+00
1.787850e+01 4.43509000e+00
1.803720e+01 4.44822000e+00
1.819580e+01 4.46556000e+00
1.833860e+01 4.48535000e+00
1.848140e+01 4.50993000e+00
1.855280e+01 4.52465000e+00
1.862420e+01 4.54280000e+00
1.865990e+01 4.55452000e+00
1.869560e+01 4.56909000e+00
1.873130e+01 4.58694000e+00
1.876700e+01 4.60728000e+00
1.881350e+01 4.63340000e+00
1.886000e+01 4.65247000e+00
1.886370e+01 4.65353000e+00
1.887840e+01 4.65707000e+00
1.889320e+01 4.65957000e+00
1.892270e+01 4.66206000e+00
1.895580e+01 4.66284000e+00
1.899730e+01 4.66469000e+00
1.903870e+01 4.67047000e+00
1.908020e+01 4.68074000e+00
1.912160e+01 4.69449000e+00
1.920450e+01 4.72828000e+00
1.928740e+01 4.76745000e+00
1.937030e+01 4.81134000e+00
1.945320e+01 4.86034000e+00
1.953610e+01 4.91522000e+00
1.961890e+01 4.97754000e+00
1.968940e+01 5.03994000e+00
1.972460e+01 5.07751000e+00
1.975990e+01 5.12290000e+00
1.979510e+01 5.18001000e+00
1.983030e+01 5.25208000e+00
1.986560e+01 5.33858000e+00
1.990080e+01 5.43221000e+00
1.993300e+01 5.51239000e+00
1.994910e+01 5.54655000e+00
1.996530e+01 5.57506000e+00
1.998190e+01 5.59772000e+00
2.000520e+01 5.61783000e+00
2.002850e+01 5.62571000e+00
2.006660e+01 5.62210000e+00
2.009880e+01 5.61601000e+00
2.013090e+01 5.61783000e+00
2.016300e+01 5.63264000e+00
2.019510e+01 5.66096000e+00
2.022730e+01 5.70065000e+00
2.025940e+01 5.74895000e+00
2.032370e+01 5.86314000e+00
2.038790e+01 5.99447000e+00
2.045220e+01 6.14132000e+00
2.051640e+01 6.30469000e+00
2.058070e+01 6.48665000e+00
2.063310e+01 6.65054000e+00
2.068540e+01 6.83029000e+00
2.073780e+01 7.02779000e+00
2.079010e+01 7.24524000e+00
2.084250e+01 7.48523000e+00
2.089490e+01 7.75081000e+00
2.094720e+01 8.04560000e+00
2.099960e+01 8.37385000e+00
2.105190e+01 8.74066000e+00
2.110430e+01 9.15211000e+00
2.113050e+01 9.37680000e+00
2.115670e+01 9.61552000e+00
2.118280e+01 9.86941000e+00
