Se-78(n,tot) ENDFB-8.0
Energy(eV) XS(b)
849.076 34.4049
849.193 38.7610
849.311 43.1418
849.428 47.3430
849.492 49.4817
849.556 51.4641
849.615 53.1184
849.674 54.5904
849.732 55.8573
849.791 56.8990
849.855 57.7599
849.905 58.2152
849.954 58.4846
850.000 58.5656
850.050 58.4645
850.100 58.1678
850.149 57.7022
850.197 57.0661
850.247 56.2237
850.297 55.2133
850.348 54.0452
850.398 52.7329
850.462 50.8750
850.526 48.8433
850.627 45.3763
850.727 41.6961
850.929 34.2136
851.011 31.2722
851.093 28.4786
851.135 27.1460
851.176 25.8621
851.217 24.6300
851.258 23.4546
851.290 22.5750
851.322 21.7323
851.354 20.9240
851.386 20.1503
851.418 19.4112
851.450 18.7064
851.482 18.0357
851.514 17.3985
851.542 16.8773
851.569 16.3818
851.597 15.9079
851.624 15.4585
851.651 15.0298
851.679 14.6241
851.706 14.2381
851.734 13.8737
851.761 13.5276
851.789 13.2017
851.816 12.8929
851.844 12.6026
851.871 12.3281
851.898 12.0706
851.926 11.8284
851.953 11.6008
851.978 11.4037
852.004 11.2178
852.029 11.0426
852.054 10.8782
852.079 10.7228
852.104 10.5771
852.129 10.4395
852.155 10.3107
852.180 10.1892
852.205 10.0755
852.230 9.96831
852.255 9.86808
852.280 9.77364
852.305 9.68538
852.331 9.60225
852.356 9.52458
852.381 9.45143
852.406 9.38283
852.431 9.31849
852.456 9.25838
852.507 9.14882
852.557 9.05229
852.607 8.96712
852.658 8.89185
852.708 8.82518
852.758 8.76598
852.795 8.72702
852.831 8.69115
852.905 8.62748
852.978 8.57290
853.051 8.52571
853.124 8.48457
853.197 8.44840
853.271 8.41634
853.344 8.38774
853.417 8.36198
853.490 8.33866
853.563 8.31741
853.636 8.29799
853.710 8.28011
853.783 8.26359
853.929 8.23409
854.039 8.21453
854.149 8.19684
854.259 8.18075
854.368 8.16608
854.478 8.15264
854.588 8.14028
854.698 8.12889
854.807 8.11838
855.027 8.09958
855.246 8.08331
855.466 8.06911
855.685 8.05663
855.887 8.04646
856.088 8.03733
856.289 8.02909
856.490 8.02162
856.692 8.01484
856.893 8.00865
857.295 7.99778
857.698 7.98856
858.100 7.98067
858.503 7.97385
858.905 7.96790
859.308 7.96266
859.710 7.95801
860.113 7.95386
860.515 7.95013
860.918 7.94675
861.320 7.94369
862.125 7.93832
862.930 7.93377
863.735 7.92984
864.540 7.92640
865.345 7.92335
866.297 7.92015
867.248 7.91727
868.200 7.91466
869.151 7.91227
870.102 7.91006
871.054 7.90800
872.005 7.90606
872.956 7.90423
874.859 7.90080
876.762 7.89765
878.665 7.89467
880.567 7.89183
883.056 7.88829
885.544 7.88490
888.032 7.88161
890.520 7.87842
893.008 7.87530
895.497 7.87223
900.473 7.86621
905.449 7.86033
910.426 7.85454
915.402 7.84884
920.378 7.84320
925.647 7.83730
930.916 7.83144
941.455 7.81987
951.993 7.80845
962.531 7.79716
981.266 7.77739
1000.00 7.75794
1021.87 7.73559
1043.74 7.71359
1065.60 7.69188
1087.47 7.67043
1109.34 7.64921
1131.20 7.62821
1153.07 7.60739
