17-Cl_n-tot
>  17-Cl-35:0.757600
>  17-Cl-37:0.242400
4.014830e+02 7.43458857e+00
4.015510e+02 7.28179369e+00
4.016190e+02 7.13903701e+00
4.016870e+02 7.00503062e+00
4.017560e+02 6.87941082e+00
4.018240e+02 6.76110189e+00
4.018920e+02 6.64985380e+00
4.019600e+02 6.54478015e+00
4.020290e+02 6.44569908e+00
4.021650e+02 6.26317387e+00
4.023020e+02 6.09920982e+00
4.023880e+02 6.00331015e+00
4.024750e+02 5.91333487e+00
4.025620e+02 5.82879159e+00
4.026490e+02 5.74923331e+00
4.027360e+02 5.67426609e+00
4.028230e+02 5.60352628e+00
4.029100e+02 5.53668811e+00
4.029970e+02 5.47353945e+00
4.030960e+02 5.40544329e+00
4.032080e+02 5.33355115e+00
4.033190e+02 5.26628798e+00
4.034310e+02 5.20325219e+00
4.035430e+02 5.14408773e+00
4.036540e+02 5.08847644e+00
4.037660e+02 5.03613038e+00
4.038780e+02 4.98678442e+00
4.039890e+02 4.94021130e+00
4.041010e+02 4.89619885e+00
4.042130e+02 4.85455767e+00
4.044360e+02 4.77771496e+00
4.046600e+02 4.70848610e+00
4.048830e+02 4.64587112e+00
4.050200e+02 4.61047937e+00
4.051560e+02 4.57710287e+00
4.052930e+02 4.54555216e+00
4.054290e+02 4.51570607e+00
4.057020e+02 4.46060493e+00
4.059750e+02 4.41097366e+00
4.062480e+02 4.36605466e+00
4.065210e+02 4.32527216e+00
4.067940e+02 4.28809583e+00
4.070670e+02 4.25410143e+00
4.072660e+02 4.23115512e+00
4.074650e+02 4.20957250e+00
4.076630e+02 4.18923995e+00
4.078620e+02 4.17007407e+00
4.080600e+02 4.15195371e+00
4.082590e+02 4.13481063e+00
4.084570e+02 4.11856911e+00
4.086560e+02 4.10317608e+00
4.090530e+02 4.07464013e+00
4.093260e+02 4.05659320e+00
4.095990e+02 4.03969025e+00
4.098720e+02 4.02382521e+00
4.101450e+02 4.00891475e+00
4.104180e+02 3.99486037e+00
4.106910e+02 3.98160906e+00
4.109640e+02 3.96907746e+00
4.112370e+02 3.95722012e+00
4.115110e+02 3.94597641e+00
4.117840e+02 3.93530851e+00
4.120570e+02 3.92515578e+00
4.123300e+02 3.91549548e+00
4.126030e+02 3.90627460e+00
4.128760e+02 3.89747797e+00
4.134220e+02 3.88102110e+00
4.139680e+02 3.86591277e+00
4.145140e+02 3.85196357e+00
4.150600e+02 3.83905227e+00
4.156060e+02 3.82703495e+00
4.161520e+02 3.81581310e+00
4.166980e+02 3.80529583e+00
4.172440e+02 3.79540736e+00
4.177900e+02 3.78608709e+00
4.183860e+02 3.77649253e+00
4.189820e+02 3.76742830e+00
4.195280e+02 3.75953989e+00
4.200740e+02 3.75200756e+00
4.206200e+02 3.74480100e+00
4.211660e+02 3.73788989e+00
4.217120e+02 3.73124395e+00
4.222580e+02 3.72484802e+00
4.228040e+02 3.71867937e+00
4.233500e+02 3.71271527e+00
4.244430e+02 3.70136281e+00
4.250000e+02 3.69590071e+00
4.255350e+02 3.69065517e+00
4.266270e+02 3.68050903e+00
4.277190e+02 3.67085532e+00
4.288110e+02 3.66161072e+00
4.299030e+02 3.65274491e+00
4.309960e+02 3.64419727e+00
4.320880e+02 3.63592997e+00
4.331800e+02 3.62792783e+00
4.342720e+02 3.62014540e+00
4.353640e+02 3.61256751e+00
4.364560e+02 3.60517903e+00
4.380450e+02 3.59472277e+00
4.391370e+02 3.58772066e+00
4.402290e+02 3.58084734e+00
4.424140e+02 3.56744918e+00
