>,14-Si-30:0.030920
2.241220e+03,2.91118063e-01
2.241340e+03,2.73544976e-01
2.241460e+03,2.57335461e-01
2.241570e+03,2.42632679e-01
2.241690e+03,2.29165459e-01
2.241800e+03,2.16818472e-01
2.241920e+03,2.05486896e-01
2.242030e+03,1.95073955e-01
2.242150e+03,1.85492761e-01
2.242260e+03,1.76663233e-01
2.242380e+03,1.68513943e-01
2.242490e+03,1.60979654e-01
2.242610e+03,1.54001305e-01
2.242720e+03,1.47526645e-01
2.242840e+03,1.41507743e-01
2.242950e+03,1.35902244e-01
2.243070e+03,1.30671803e-01
2.243180e+03,1.25782101e-01
2.243360e+03,1.18815186e-01
2.243540e+03,1.12492952e-01
2.243710e+03,1.06731609e-01
2.243890e+03,1.01488793e-01
2.244070e+03,9.66460812e-02
2.244250e+03,9.21836859e-02
2.244430e+03,8.80583185e-02
2.244600e+03,8.42542110e-02
2.244780e+03,8.06962257e-02
2.244960e+03,7.73803439e-02
2.245140e+03,7.42821389e-02
2.245310e+03,7.13972831e-02
2.245490e+03,6.86753745e-02
2.245670e+03,6.61315651e-02
2.245850e+03,6.37225669e-02
2.246020e+03,6.14638411e-02
2.246250e+03,5.87147171e-02
2.246480e+03,5.61560603e-02
2.246710e+03,5.37702463e-02
2.246940e+03,5.15408874e-02
2.247170e+03,4.94540698e-02
2.247400e+03,4.74977346e-02
2.247630e+03,4.56601322e-02
2.247860e+03,4.39319866e-02
2.248090e+03,4.23043310e-02
2.248320e+03,4.07691261e-02
2.248550e+03,3.93195697e-02
2.248780e+03,3.79491685e-02
2.249240e+03,3.54226417e-02
2.249700e+03,3.31496589e-02
2.250210e+03,3.09188760e-02
2.250710e+03,2.89140886e-02
2.251210e+03,2.71051794e-02
2.251710e+03,2.54701333e-02
2.252210e+03,2.39813389e-02
2.252710e+03,2.26242018e-02
2.253220e+03,2.13833846e-02
2.253720e+03,2.02479439e-02
2.254180e+03,1.92862782e-02
2.254640e+03,1.83941208e-02
2.255100e+03,1.75648855e-02
2.255560e+03,1.67926667e-02
2.256020e+03,1.60723626e-02
2.256480e+03,1.53993352e-02
2.256940e+03,1.47695030e-02
2.257400e+03,1.41792793e-02
2.257860e+03,1.36253557e-02
2.258320e+03,1.31048257e-02
2.258780e+03,1.26150302e-02
2.259240e+03,1.21535883e-02
2.259700e+03,1.17183666e-02
2.260160e+03,1.13073553e-02
2.260620e+03,1.09188228e-02
2.261080e+03,1.05511613e-02
2.262000e+03,9.87254552e-03
2.262920e+03,9.26124263e-03
2.263840e+03,8.70853313e-03
2.264760e+03,8.20718175e-03
2.265680e+03,7.75097357e-03
2.266600e+03,7.33459035e-03
2.267520e+03,6.95354869e-03
2.268440e+03,6.60398359e-03
2.269150e+03,6.35323237e-03
2.269860e+03,6.11794116e-03
2.270570e+03,5.89681130e-03
2.271280e+03,5.68876060e-03
2.271990e+03,5.49270687e-03
2.272700e+03,5.30775341e-03
2.274120e+03,4.96793166e-03
2.275550e+03,4.66301742e-03
2.276970e+03,4.38865331e-03
2.278390e+03,4.14094223e-03
2.279810e+03,3.91673036e-03
2.280730e+03,3.78261582e-03
2.281650e+03,3.65641680e-03
2.283490e+03,3.42534119e-03
2.285330e+03,3.21922730e-03
2.287170e+03,3.03460900e-03
2.289010e+03,2.86858288e-03
2.290850e+03,2.71873103e-03
2.292690e+03,2.58300651e-03
2.294530e+03,2.45974895e-03
2.296540e+03,2.33759086e-03
2.298550e+03,2.22688246e-03
2.300550e+03,2.12618093e-03
2.302560e+03,2.03431208e-03
2.304570e+03,1.95028763e-03
2.306570e+03,1.87331411e-03
2.308580e+03,1.80265020e-03
2.310590e+03,1.73745294e-03
2.314270e+03,1.63021694e-03
