>,24-Cr-53:0.095001
>,24-Cr-54:0.023650
2.000000e+03,5.71624683e+00
2.067320e+03,5.88782869e+00
2.093750e+03,5.95923355e+00
2.122010e+03,6.03559341e+00
2.134650e+03,6.07010023e+00
2.183010e+03,6.21075076e+00
2.187500e+03,6.22396078e+00
2.201970e+03,6.26653618e+00
2.244010e+03,6.39901763e+00
2.269290e+03,6.47963353e+00
2.281250e+03,6.52017461e+00
2.336620e+03,6.70787840e+00
2.366020e+03,6.81501654e+00
2.375000e+03,6.84817927e+00
2.403940e+03,6.95506280e+00
2.427020e+03,7.04636628e+00
2.471270e+03,7.22304691e+00
2.488020e+03,7.29449655e+00
2.538590e+03,7.51167840e+00
2.549030e+03,7.56028053e+00
2.562500e+03,7.62354157e+00
2.605910e+03,7.82743185e+00
2.610030e+03,7.84816742e+00
2.671030e+03,8.15830744e+00
2.673240e+03,8.16962568e+00
2.732030e+03,8.49407070e+00
2.740560e+03,8.54152512e+00
2.750000e+03,8.59848350e+00
2.793040e+03,8.85819265e+00
2.807880e+03,8.94880672e+00
2.854040e+03,9.25176816e+00
2.875210e+03,9.39086682e+00
2.884540e+03,9.45761573e+00
2.915040e+03,9.67827019e+00
2.937500e+03,9.84096986e+00
2.942530e+03,9.87740909e+00
2.976040e+03,1.01333855e+01
2.976190e+03,1.01345460e+01
3.009850e+03,1.04093703e+01
3.048140e+03,1.07380024e+01
3.077180e+03,1.09898026e+01
3.120230e+03,1.13989836e+01
3.125000e+03,1.14444802e+01
3.143700e+03,1.16228488e+01
3.156280e+03,1.17488609e+01
3.176960e+03,1.19577991e+01
3.192330e+03,1.21221674e+01
3.210230e+03,1.23151281e+01
3.264420e+03,1.29309214e+01
3.276750e+03,1.30724604e+01
3.312500e+03,1.35209737e+01
3.336520e+03,1.38223329e+01
3.343280e+03,1.39081032e+01
3.376540e+03,1.43520800e+01
3.408610e+03,1.48013954e+01
3.409810e+03,1.48183899e+01
3.476330e+03,1.58146620e+01
3.480700e+03,1.58854382e+01
3.500000e+03,1.62011262e+01
