>,82-Pb-207:0.221000
>,82-Pb-208:0.524000
2.778630e+02,1.64418469e-03
2.937500e+02,1.59855889e-03
2.941250e+02,1.59757139e-03
3.049380e+02,1.56914144e-03
3.067760e+02,1.56432837e-03
3.084420e+02,1.55997438e-03
3.094430e+02,1.55735910e-03
3.117390e+02,1.55136150e-03
3.125000e+02,1.54937435e-03
3.140360e+02,1.54571047e-03
3.186280e+02,1.53476043e-03
3.196110e+02,1.53241747e-03
3.216630e+02,1.52752774e-03
3.237140e+02,1.52264183e-03
3.278170e+02,1.51287136e-03
3.288410e+02,1.51043399e-03
3.312500e+02,1.50471858e-03
3.327650e+02,1.50139242e-03
3.366900e+02,1.49279021e-03
3.445390e+02,1.47560706e-03
3.457330e+02,1.47299577e-03
3.492180e+02,1.46537867e-03
3.500000e+02,1.46367685e-03
3.512500e+02,1.46125714e-03
3.568050e+02,1.45051837e-03
3.595500e+02,1.44521871e-03
3.668020e+02,1.43124251e-03
3.695800e+02,1.42589921e-03
3.802300e+02,1.40548367e-03
3.838420e+02,1.39861997e-03
3.875000e+02,1.39169243e-03
3.879760e+02,1.39090526e-03
4.000000e+02,1.37120335e-03
4.062500e+02,1.36123585e-03
4.112140e+02,1.35333718e-03
4.168210e+02,1.34464589e-03
4.224270e+02,1.33621395e-03
4.250000e+02,1.33249960e-03
4.280340e+02,1.32872023e-03
4.336410e+02,1.32224212e-03
4.392480e+02,1.31654032e-03
4.420510e+02,1.31409885e-03
4.448550e+02,1.31212693e-03
4.492270e+02,1.31031041e-03
4.514130e+02,1.31023403e-03
4.536000e+02,1.31110306e-03
4.557860e+02,1.31285437e-03
4.579720e+02,1.31636213e-03
4.590650e+02,1.31893466e-03
4.601580e+02,1.32221013e-03
4.612510e+02,1.32636004e-03
4.623440e+02,1.33164255e-03
4.625000e+02,1.33259988e-03
4.633220e+02,1.33777758e-03
4.643000e+02,1.34502710e-03
4.652780e+02,1.35428983e-03
4.662560e+02,1.36590875e-03
4.672340e+02,1.38062728e-03
4.682120e+02,1.39944780e-03
4.687010e+02,1.41081596e-03
4.691900e+02,1.42393693e-03
4.696790e+02,1.43909629e-03
4.701680e+02,1.45668605e-03
4.706850e+02,1.47852627e-03
4.712020e+02,1.50448389e-03
4.717190e+02,1.53564391e-03
4.722360e+02,1.57343853e-03
4.727530e+02,1.61984875e-03
4.730120e+02,1.64703834e-03
4.732700e+02,1.67739037e-03
4.735290e+02,1.71148476e-03
4.737870e+02,1.75009399e-03
4.740460e+02,1.79406398e-03
4.743040e+02,1.84436041e-03
4.745580e+02,1.90099404e-03
4.748110e+02,1.96631591e-03
4.750640e+02,2.04220078e-03
4.753180e+02,2.13100221e-03
4.755710e+02,2.23585448e-03
4.756980e+02,2.29552080e-03
4.758250e+02,2.36087811e-03
